q0,q1,q2,q3,acc_x,acc_y,acc_z
-0.22,0.04,0.28,-0.93,-0.05,-0.73,0.37
-0.22,0.05,0.28,-0.93,-0.34,-0.84,0.17
-0.22,0.05,0.27,-0.94,-0.87,0.14,-0.65
-0.22,0.05,0.27,-0.94,-0.81,0.44,-0.78
-0.21,0.06,0.27,-0.94,-0.36,-0.13,-0.24
-0.21,0.06,0.27,-0.94,-0.53,-1.1,0.23
-0.21,0.06,0.27,-0.94,-0.59,-1.37,0.57
-0.2,0.07,0.27,-0.94,-0.59,-0.43,0.6
-0.2,0.07,0.27,-0.94,-0.52,0.5,0.02
-0.2,0.07,0.27,-0.94,-0.35,0.72,-0.05
-0.2,0.07,0.26,-0.94,-0.34,0.56,0.0
-0.2,0.08,0.26,-0.94,-0.27,-0.05,0.56
-0.2,0.08,0.26,-0.94,-0.38,0.04,0.5
-0.2,0.08,0.26,-0.94,-0.56,0.43,0.03
-0.2,0.08,0.26,-0.94,-0.12,0.35,0.27
-0.2,0.08,0.26,-0.94,-0.07,0.21,0.26
-0.2,0.08,0.26,-0.94,-0.7,0.43,-0.37
-0.21,0.09,0.26,-0.94,-0.69,0.39,-0.51
-0.21,0.08,0.27,-0.94,-0.18,-0.18,0.01
-0.21,0.08,0.27,-0.94,0.06,-1.27,0.78
-0.21,0.08,0.27,-0.94,-0.49,-0.72,0.54
-0.21,0.08,0.27,-0.94,-0.56,-0.28,0.21
-0.21,0.08,0.27,-0.94,-0.46,0.18,0.06
-0.21,0.08,0.27,-0.94,-0.38,-0.39,0.19
-0.21,0.08,0.27,-0.94,-0.41,-0.46,0.18
-0.21,0.08,0.27,-0.94,-0.6,-0.46,-0.01
-0.21,0.08,0.26,-0.94,-0.67,-0.23,-0.51
-0.21,0.08,0.26,-0.94,-1.21,0.66,-2.91
-0.21,0.08,0.26,-0.94,-2.11,2.39,-4.01
-0.22,0.06,0.26,-0.94,-1.71,2.39,-2.13
-0.22,0.04,0.26,-0.94,-0.67,2.42,-1.42
-0.23,0.01,0.27,-0.94,2.16,0.42,4.44
-0.24,-0.0,0.28,-0.93,4.62,-14.39,7.06
-0.24,-0.0,0.28,-0.93,1.25,-11.95,7.47
-0.23,0.01,0.27,-0.93,2.69,-1.29,1.66
-0.22,0.03,0.26,-0.94,4.01,-5.13,1.19
-0.21,0.05,0.25,-0.94,3.38,-5.86,0.94
-0.19,0.08,0.23,-0.95,0.0,0.36,-5.47
-0.17,0.1,0.23,-0.95,-0.69,-0.78,-4.2
-0.16,0.11,0.23,-0.95,0.1,-1.94,-3.47
-0.15,0.12,0.23,-0.95,1.0,-3.01,-2.98
-0.14,0.13,0.25,-0.95,0.59,-5.49,-4.57
-0.13,0.13,0.26,-0.95,-0.36,-6.11,-5.05
-0.11,0.13,0.28,-0.95,-0.25,-9.67,-4.68
-0.08,0.12,0.3,-0.94,1.88,-12.62,-2.12
-0.06,0.12,0.3,-0.94,2.56,-12.85,-0.69
-0.02,0.12,0.3,-0.95,2.07,-5.36,-1.5
0.02,0.11,0.3,-0.95,0.94,-4.05,-2.22
0.04,0.11,0.31,-0.94,0.57,-4.91,-2.28
0.08,0.11,0.32,-0.94,0.77,-6.26,-2.54
0.12,0.1,0.34,-0.93,0.76,-7.02,-2.66
0.14,0.1,0.34,-0.92,0.6,-7.39,-2.85
0.18,0.09,0.36,-0.91,0.24,-7.22,-2.82
0.23,0.08,0.37,-0.9,0.34,-4.98,-2.1
0.25,0.07,0.38,-0.89,0.45,-4.75,-1.82
0.3,0.06,0.38,-0.87,1.54,-4.97,-1.38
0.34,0.05,0.39,-0.85,1.6,-2.76,-1.58
0.37,0.04,0.39,-0.85,1.87,-0.22,-0.26
0.41,0.02,0.38,-0.83,3.34,1.63,1.08
0.46,-0.01,0.36,-0.81,6.04,2.87,2.3
0.48,-0.02,0.36,-0.8,6.33,3.3,1.9
0.51,-0.03,0.34,-0.79,6.04,3.53,0.95
0.54,-0.04,0.32,-0.78,5.89,4.14,2.15
0.55,-0.04,0.31,-0.77,6.07,4.34,2.24
0.58,-0.05,0.28,-0.76,6.03,4.65,1.11
0.6,-0.05,0.26,-0.76,5.93,4.3,0.1
0.6,-0.05,0.25,-0.76,5.43,3.13,-1.19
0.61,-0.05,0.23,-0.75,4.59,2.4,-1.76
0.63,-0.06,0.21,-0.75,5.3,3.48,-1.86
0.63,-0.06,0.2,-0.75,5.5,4.2,-1.64
0.64,-0.07,0.17,-0.75,5.85,3.84,-0.69
0.64,-0.09,0.15,-0.75,5.25,0.29,0.64
0.64,-0.09,0.14,-0.75,5.05,-1.29,1.22
0.65,-0.1,0.13,-0.74,4.45,-2.27,1.05
0.66,-0.11,0.12,-0.74,3.1,-1.21,-0.74
0.66,-0.11,0.11,-0.73,2.76,-0.83,-1.04
0.68,-0.11,0.11,-0.72,2.52,0.66,-0.96
0.68,-0.11,0.09,-0.71,3.27,1.45,0.4
0.69,-0.11,0.09,-0.71,2.99,1.8,0.27
