roll,pitch,yaw,acc_x,acc_y,acc_z
-89.31248364536093,62.873246882726036,-63.027156566356254,-0.77,-7.13,-0.13
66.61671742705362,79.99744219226204,79.4906830984121,-4.78,4.57,0.55
66.7407790544717,75.83616631670637,80.20910344691644,-3.63,5.3,1.32
74.5726863375643,77.85001694202245,85.5153939904554,-3.39,5.31,0.61
71.38711454566759,77.10996305614786,81.90855875975588,-2.16,6.56,1.01
73.61521016587251,73.82184787299217,84.9824330897479,-2.33,6.65,0.57
73.61521016587251,73.82184787299217,84.9824330897479,-2.23,6.39,0.55
70.54882463540712,71.44164630055626,82.87498365109822,-1.86,5.99,0.59
70.54882463540712,71.44164630055626,82.87498365109822,-1.47,5.87,0.14
69.92847413546127,73.33542862618089,80.28898776191585,-0.81,6.32,1.03
