roll,pitch,yaw,acc_x,acc_y,acc_z
-103.1575427400148,79.86634455043148,-78.58364903855872,-1.56,-3.26,-0.72
-98.56726699749302,75.74280709138836,-76.93953000311183,-0.93,-3.84,0.05
-98.56726699749302,75.74280709138836,-76.93953000311183,-0.75,-3.98,0.19
-94.76364169072619,73.73979529168804,-73.77980630439723,-0.31,-4.05,0.05
-94.76364169072619,73.73979529168804,-73.77980630439723,-0.4,-4.54,0.0
-94.46715906138927,72.4777302039157,-74.76459088664058,-0.48,-4.56,0.23
-96.94389225409968,71.91554745298619,-79.16514602050847,-0.99,-5.23,-0.1
-96.53080094130625,70.80411724746502,-79.83954624903274,-0.61,-5.17,0.28
-97.0530480658051,71.65890053131074,-83.01011495599899,0.03,-4.51,0.15
120.70672628265164,78.57938669697725,-248.174172965792,-1.95,3.01,4.7
116.94813467552434,77.5807294005314,-253.37771101098258,-2.81,3.44,3.63
114.50013811160787,76.45835852840831,-256.9751373304533,-3.21,3.77,2.83
