q0,q1,q2,q3,acc_x,acc_y,acc_z
0.17,0.02,-0.01,-0.98,0.1,0.0,-0.36
0.17,0.02,-0.01,-0.98,0.11,0.0,-0.36
0.17,0.02,-0.01,-0.98,0.09,0.0,-0.32
0.17,0.02,-0.01,-0.98,0.1,0.01,-0.34
0.17,0.02,-0.01,-0.98,0.1,0.01,-0.38
0.17,0.02,-0.01,-0.98,0.11,0.02,-0.35
0.17,0.02,-0.01,-0.98,0.09,0.02,-0.33
0.17,0.02,-0.01,-0.98,0.11,0.0,-0.38
0.17,0.02,-0.01,-0.98,0.09,0.0,-0.36
0.17,0.02,-0.01,-0.98,0.1,0.02,-0.37
0.17,0.02,-0.01,-0.98,0.09,0.01,-0.35
0.17,0.02,-0.01,-0.98,0.09,0.0,-0.33
0.17,0.02,-0.01,-0.98,0.1,0.01,-0.34
0.17,0.02,-0.01,-0.98,0.11,-0.01,-0.36
0.17,0.02,-0.01,-0.98,0.09,0.02,-0.37
0.17,0.02,-0.01,-0.98,0.12,0.0,-0.35
0.17,0.02,-0.01,-0.98,0.11,0.01,-0.37
0.17,0.02,-0.01,-0.98,0.09,0.0,-0.36
0.17,0.02,-0.01,-0.98,0.11,0.0,-0.36
0.17,0.02,-0.01,-0.98,0.11,0.0,-0.37
0.17,0.02,-0.01,-0.98,0.09,0.0,-0.35
0.17,0.02,-0.01,-0.98,0.1,0.0,-0.36
0.17,0.02,-0.01,-0.98,0.1,0.0,-0.37
0.17,0.02,-0.01,-0.98,0.11,-0.01,-0.34
0.17,0.02,-0.01,-0.98,0.09,-0.01,-0.36
0.17,0.02,-0.01,-0.98,0.1,0.01,-0.36
0.17,0.02,-0.01,-0.98,0.08,0.0,-0.34
0.17,0.02,-0.01,-0.98,0.1,0.01,-0.33
0.17,0.02,-0.01,-0.98,0.1,0.0,-0.38
0.17,0.02,-0.01,-0.98,0.09,0.0,-0.37
0.17,0.02,-0.01,-0.98,0.1,0.01,-0.35
0.17,0.02,-0.01,-0.98,0.1,0.01,-0.36
0.17,0.02,-0.01,-0.98,0.08,0.0,-0.34
0.17,0.02,-0.01,-0.98,0.09,0.01,-0.35
0.17,0.02,-0.01,-0.98,0.1,0.01,-0.33
0.17,0.02,-0.01,-0.98,0.11,0.0,-0.36
0.17,0.02,-0.01,-0.98,0.11,-0.01,-0.34
0.17,0.02,-0.01,-0.98,0.1,0.0,-0.35
0.17,0.02,-0.01,-0.98,0.09,0.01,-0.36
0.17,0.02,-0.01,-0.98,0.09,0.0,-0.36
0.17,0.02,-0.01,-0.98,0.11,-0.01,-0.35
0.17,0.02,-0.01,-0.98,0.1,0.0,-0.35
0.17,0.02,-0.01,-0.98,0.11,0.0,-0.34
0.17,0.02,-0.01,-0.98,0.1,0.0,-0.35
0.17,0.02,-0.01,-0.98,0.12,0.0,-0.32
0.17,0.02,-0.01,-0.98,0.09,0.02,-0.35
0.17,0.02,-0.01,-0.98,0.12,0.01,-0.33
0.17,0.02,-0.01,-0.98,0.1,0.0,-0.35
0.17,0.02,-0.01,-0.98,0.1,0.0,-0.37
0.17,0.02,-0.01,-0.98,0.11,0.01,-0.37
0.17,0.02,-0.01,-0.98,0.09,-0.01,-0.32
0.17,0.02,-0.01,-0.98,0.11,0.0,-0.35
0.17,0.02,-0.01,-0.98,0.1,0.0,-0.38
0.17,0.02,-0.01,-0.98,0.1,0.0,-0.35
0.17,0.02,-0.01,-0.98,0.09,0.0,-0.35
0.17,0.02,-0.01,-0.98,0.11,0.01,-0.38
0.17,0.02,-0.01,-0.98,0.1,0.0,-0.36
0.17,0.02,-0.01,-0.98,0.12,-0.01,-0.34
0.17,0.02,-0.01,-0.98,0.09,0.0,-0.36
0.17,0.02,-0.01,-0.98,0.11,0.0,-0.34
0.17,0.02,-0.01,-0.98,0.09,0.0,-0.36
0.17,0.02,-0.01,-0.98,0.1,0.0,-0.36
0.17,0.02,-0.01,-0.98,0.08,0.01,-0.36
0.17,0.02,-0.01,-0.98,0.11,0.0,-0.37
0.17,0.02,-0.01,-0.98,0.09,0.01,-0.37
0.17,0.02,-0.01,-0.98,0.11,0.0,-0.36
0.17,0.02,-0.01,-0.98,0.12,0.0,-0.35
0.17,0.02,-0.01,-0.98,0.11,0.01,-0.34
0.17,0.02,-0.01,-0.98,0.11,-0.01,-0.35
0.17,0.02,-0.01,-0.98,0.11,0.0,-0.34
0.17,0.02,-0.01,-0.98,0.09,0.01,-0.35
0.17,0.02,-0.01,-0.98,0.09,0.01,-0.33
0.17,0.02,-0.01,-0.98,0.12,0.0,-0.36
0.17,0.02,-0.01,-0.98,0.13,0.0,-0.37
0.17,0.02,-0.01,-0.98,0.09,0.01,-0.34
0.17,0.02,-0.01,-0.98,0.1,0.0,-0.33
0.17,0.02,-0.01,-0.98,0.12,0.0,-0.35
0.17,0.02,-0.01,-0.98,0.11,0.0,-0.34
0.17,0.02,-0.01,-0.98,0.09,0.0,-0.36
0.17,0.02,-0.01,-0.98,0.09,0.01,-0.36
0.17,0.02,-0.01,-0.98,0.11,0.0,-0.34
0.17,0.02,-0.01,-0.98,0.1,0.0,-0.34
0.17,0.02,-0.01,-0.98,0.1,0.0,-0.35
0.17,0.02,-0.01,-0.98,0.11,0.0,-0.33
0.17,0.02,-0.01,-0.98,0.1,0.0,-0.34
0.17,0.02,-0.01,-0.98,0.11,0.01,-0.37
0.17,0.02,-0.01,-0.98,0.09,0.0,-0.37
0.17,0.02,-0.01,-0.98,0.11,0.0,-0.35
0.17,0.02,-0.01,-0.98,0.09,0.0,-0.37
0.17,0.02,-0.01,-0.98,0.1,0.01,-0.33
0.17,0.02,-0.01,-0.98,0.1,0.0,-0.36
0.17,0.02,-0.01,-0.98,0.1,0.01,-0.35
0.17,0.02,-0.01,-0.98,0.1,0.0,-0.36
0.17,0.02,-0.01,-0.98,0.11,0.02,-0.37
0.17,0.02,-0.01,-0.98,0.1,-0.01,-0.34
0.17,0.02,-0.01,-0.98,0.11,-0.01,-0.35
0.17,0.02,-0.01,-0.98,0.1,0.01,-0.35
0.17,0.02,-0.01,-0.98,0.11,0.01,-0.35
0.17,0.02,-0.01,-0.98,0.11,0.0,-0.33
0.17,0.02,-0.01,-0.98,0.1,0.0,-0.35
0.17,0.02,-0.01,-0.98,0.09,0.0,-0.38
0.17,0.02,-0.01,-0.98,0.11,-0.01,-0.36
0.17,0.02,-0.01,-0.98,0.09,0.0,-0.35
0.17,0.02,-0.01,-0.98,0.11,0.01,-0.36
0.17,0.02,-0.01,-0.98,0.11,0.01,-0.34
0.17,0.02,-0.01,-0.98,0.1,0.01,-0.37
0.17,0.02,-0.01,-0.98,0.09,-0.01,-0.39
0.17,0.02,-0.01,-0.98,0.08,0.0,-0.34
0.17,0.02,-0.01,-0.98,0.1,0.0,-0.34
0.17,0.02,-0.01,-0.98,0.12,0.01,-0.36
0.17,0.02,-0.01,-0.98,0.1,0.0,-0.35
0.17,0.02,-0.01,-0.98,0.09,0.0,-0.35
0.17,0.02,-0.01,-0.98,0.09,0.0,-0.35
0.17,0.02,-0.01,-0.98,0.11,0.01,-0.34
0.17,0.02,-0.01,-0.98,0.1,-0.03,-0.36
0.17,0.02,-0.01,-0.98,0.11,0.01,-0.36
0.17,0.02,-0.01,-0.98,0.09,0.01,-0.33
0.17,0.02,-0.01,-0.98,0.11,0.0,-0.35
0.17,0.02,-0.01,-0.98,0.1,0.0,-0.37
0.17,0.02,-0.01,-0.98,0.1,0.0,-0.36
0.17,0.02,-0.01,-0.98,0.11,0.0,-0.36
0.17,0.02,-0.01,-0.98,0.1,0.0,-0.35
0.17,0.02,-0.01,-0.98,0.1,-0.01,-0.36
0.17,0.02,-0.01,-0.98,0.09,0.0,-0.37
0.17,0.02,-0.01,-0.98,0.09,0.0,-0.35
0.17,0.02,-0.01,-0.98,0.1,0.01,-0.36
0.17,0.02,-0.01,-0.98,0.09,0.0,-0.32
0.17,0.02,-0.01,-0.98,0.1,0.0,-0.34
0.17,0.02,-0.01,-0.98,0.1,0.0,-0.36
0.17,0.02,-0.01,-0.98,0.11,0.0,-0.35
0.17,0.02,-0.01,-0.98,0.11,0.01,-0.36
0.17,0.02,-0.01,-0.98,0.09,0.0,-0.36
0.17,0.02,-0.01,-0.98,0.12,-0.01,-0.34
0.17,0.02,-0.01,-0.98,0.11,-0.01,-0.34
0.17,0.02,-0.01,-0.98,0.08,0.0,-0.34
0.17,0.02,-0.01,-0.98,0.1,0.0,-0.37
0.17,0.02,-0.01,-0.98,0.08,0.02,-0.34
0.17,0.02,-0.01,-0.98,0.11,0.01,-0.33
0.17,0.02,-0.01,-0.98,0.08,-0.01,-0.34
0.17,0.02,-0.01,-0.98,0.09,0.01,-0.36
0.17,0.02,-0.01,-0.98,0.11,0.0,-0.34
0.17,0.02,-0.01,-0.98,0.12,0.0,-0.34
0.17,0.02,-0.01,-0.98,0.09,-0.01,-0.37
0.17,0.02,-0.01,-0.98,0.11,0.01,-0.34
0.17,0.02,-0.01,-0.98,0.09,0.0,-0.35
0.17,0.02,-0.01,-0.98,0.08,0.0,-0.37
0.17,0.02,-0.01,-0.98,0.11,0.02,-0.33
0.17,0.02,-0.01,-0.98,0.12,0.0,-0.34
0.17,0.02,-0.01,-0.98,0.11,0.0,-0.37
0.17,0.02,-0.01,-0.98,0.11,0.0,-0.32
0.17,0.02,-0.01,-0.98,0.1,0.0,-0.35
0.17,0.02,-0.01,-0.98,0.1,0.0,-0.37
0.17,0.02,-0.01,-0.98,0.07,0.0,-0.34
0.17,0.02,-0.01,-0.98,0.11,0.0,-0.35
0.17,0.02,-0.01,-0.98,0.09,-0.01,-0.36
0.17,0.02,-0.01,-0.98,0.1,0.02,-0.35
0.17,0.02,-0.01,-0.98,0.11,0.01,-0.36
0.17,0.02,-0.01,-0.98,0.09,0.01,-0.35
0.17,0.02,-0.01,-0.98,0.09,0.0,-0.36
0.17,0.02,-0.01,-0.98,0.12,0.0,-0.36
0.17,0.02,-0.01,-0.98,0.12,0.0,-0.35
0.17,0.02,-0.01,-0.98,0.09,0.0,-0.35
0.17,0.02,-0.01,-0.98,0.1,0.01,-0.34
0.17,0.02,-0.01,-0.98,0.1,0.0,-0.36
0.17,0.02,-0.01,-0.98,0.1,0.01,-0.37
0.17,0.02,-0.01,-0.98,0.09,-0.01,-0.35
0.17,0.02,-0.01,-0.98,0.11,0.01,-0.37
