q0,q1,q2,q3,acc_x,acc_y,acc_z
0.67,-0.13,-0.21,-0.7,0.67,0.78,1.37
0.67,-0.13,-0.21,-0.7,0.81,0.05,1.09
0.67,-0.13,-0.21,-0.7,0.61,0.27,0.97
0.67,-0.13,-0.21,-0.7,0.41,-0.04,0.96
0.67,-0.12,-0.2,-0.7,0.63,-0.38,0.77
0.67,-0.12,-0.2,-0.7,0.81,-0.25,1.04
0.67,-0.12,-0.2,-0.7,0.74,-0.09,0.42
0.67,-0.12,-0.2,-0.7,0.46,0.44,0.11
0.67,-0.11,-0.2,-0.7,0.38,0.17,-0.07
0.68,-0.11,-0.2,-0.7,0.29,0.34,-0.04
0.68,-0.11,-0.2,-0.7,0.17,-0.02,-0.53
0.68,-0.1,-0.2,-0.7,0.24,-0.5,-0.5
0.68,-0.1,-0.2,-0.7,0.29,-0.33,-0.75
0.68,-0.09,-0.2,-0.7,-0.03,0.35,-1.09
0.68,-0.09,-0.2,-0.7,-0.05,0.45,-0.93
0.68,-0.09,-0.2,-0.7,-0.1,0.09,-1.19
0.68,-0.08,-0.2,-0.7,-0.05,-0.72,-1.1
0.68,-0.08,-0.2,-0.7,0.06,-0.51,-0.98
0.68,-0.07,-0.2,-0.7,-0.26,0.07,-1.4
0.68,-0.07,-0.2,-0.7,-0.29,-0.25,-1.39
0.68,-0.07,-0.2,-0.71,-0.49,-0.07,-1.64
0.68,-0.06,-0.2,-0.71,-0.55,-0.43,-1.16
0.68,-0.06,-0.2,-0.71,-0.51,-0.35,-1.3
0.68,-0.06,-0.2,-0.71,-0.54,-0.12,-1.05
0.67,-0.05,-0.2,-0.71,-0.32,-0.07,-1.32
0.67,-0.05,-0.2,-0.71,-0.56,0.73,-1.13
0.67,-0.05,-0.2,-0.71,-0.54,0.55,-1.3
0.67,-0.05,-0.2,-0.71,-0.21,-0.62,-0.95
