q0,q1,q2,q3,acc_x,acc_y,acc_z
0.76,-0.05,-0.22,-0.61,-0.01,0.19,-0.07
0.76,-0.05,-0.22,-0.61,-0.04,0.18,-0.04
0.76,-0.05,-0.22,-0.61,-0.01,0.08,0.02
0.76,-0.05,-0.22,-0.61,-0.03,0.09,0.11
0.76,-0.05,-0.22,-0.61,-0.08,-0.17,-0.08
0.76,-0.05,-0.22,-0.61,-0.1,0.0,0.03
0.77,-0.05,-0.22,-0.6,-0.14,-0.08,0.21
0.77,-0.05,-0.22,-0.6,-0.11,-0.05,-0.05
0.77,-0.05,-0.22,-0.6,0.22,0.28,0.09
0.77,-0.05,-0.22,-0.6,0.09,0.12,0.25
0.77,-0.05,-0.22,-0.6,-0.01,0.0,0.09
0.77,-0.05,-0.22,-0.6,-0.05,-0.16,0.21
0.77,-0.05,-0.22,-0.6,0.0,-0.24,0.26
0.77,-0.05,-0.22,-0.6,-0.03,-0.04,-0.04
0.77,-0.05,-0.22,-0.6,-0.05,0.0,-0.07
0.77,-0.05,-0.22,-0.59,-0.04,-0.02,0.08
0.78,-0.05,-0.22,-0.59,-0.07,0.26,0.03
0.78,-0.05,-0.22,-0.59,-0.06,-0.06,0.12
0.78,-0.05,-0.22,-0.59,-0.06,-0.19,0.13
0.78,-0.05,-0.22,-0.59,-0.06,0.0,-0.01
0.78,-0.05,-0.22,-0.59,0.0,0.2,-0.11
0.78,-0.05,-0.22,-0.58,-0.01,0.09,0.01
0.78,-0.05,-0.22,-0.58,-0.05,0.27,0.0
0.78,-0.05,-0.22,-0.58,-0.05,0.21,0.01
0.78,-0.05,-0.22,-0.58,-0.05,0.09,0.0
0.78,-0.05,-0.22,-0.58,-0.18,0.18,-0.01
0.78,-0.05,-0.22,-0.58,-0.17,0.6,0.11
0.79,-0.05,-0.22,-0.58,0.08,0.59,0.32
0.78,-0.05,-0.22,-0.58,0.0,0.41,0.12
0.78,-0.05,-0.22,-0.58,0.04,0.42,0.15
0.79,-0.05,-0.22,-0.58,0.02,-0.28,0.22
0.79,-0.05,-0.22,-0.58,0.06,-0.85,0.28
0.79,-0.05,-0.22,-0.58,0.28,-0.46,0.72
0.79,-0.05,-0.22,-0.57,0.06,-0.45,0.37
0.79,-0.05,-0.22,-0.57,0.01,-0.51,0.35
0.79,-0.05,-0.22,-0.57,-0.15,-1.0,0.63
0.79,-0.05,-0.22,-0.57,-0.19,-1.12,0.64
0.79,-0.05,-0.22,-0.57,-0.09,-1.08,0.69
0.79,-0.04,-0.22,-0.57,-0.26,-1.26,0.54
0.79,-0.04,-0.22,-0.56,-0.5,-1.18,0.21
0.8,-0.04,-0.22,-0.56,-0.26,-1.24,0.56
0.8,-0.04,-0.22,-0.56,-0.36,-1.17,0.49
0.8,-0.04,-0.22,-0.56,-0.8,-1.17,0.14
0.8,-0.04,-0.22,-0.55,-0.48,-1.67,0.43
0.8,-0.04,-0.22,-0.55,-0.46,-1.52,0.78
0.81,-0.04,-0.22,-0.55,-0.74,-1.32,0.31
0.81,-0.04,-0.22,-0.54,-0.38,-0.77,0.53
0.81,-0.04,-0.22,-0.54,-0.35,-0.32,0.53
0.81,-0.04,-0.22,-0.54,-0.61,-0.87,0.21
0.81,-0.04,-0.23,-0.54,-0.43,-1.72,0.53
0.81,-0.04,-0.23,-0.53,-0.42,-1.81,0.83
