q0,q1,q2,q3,acc_x,acc_y,acc_z
0.19,0.67,0.16,-0.7,0.04,0.03,-0.12
0.19,0.67,0.16,-0.7,0.03,0.04,-0.07
0.19,0.67,0.16,-0.7,0.04,0.02,-0.11
0.19,0.67,0.16,-0.7,0.03,0.03,-0.11
0.19,0.67,0.16,-0.7,0.01,0.02,-0.09
0.19,0.67,0.16,-0.7,0.03,0.03,-0.09
0.19,0.67,0.16,-0.7,0.03,0.04,-0.08
0.19,0.67,0.16,-0.7,0.06,0.04,-0.1
0.19,0.67,0.16,-0.7,0.05,0.04,-0.09
0.19,0.67,0.16,-0.7,0.04,0.04,-0.11
0.19,0.67,0.16,-0.7,0.04,0.03,-0.11
0.19,0.67,0.16,-0.7,0.05,0.02,-0.1
0.19,0.67,0.16,-0.7,0.05,0.03,-0.11
0.19,0.67,0.16,-0.7,0.03,0.03,-0.08
0.19,0.67,0.16,-0.7,0.03,0.05,-0.11
0.19,0.67,0.16,-0.7,0.04,0.03,-0.1
0.19,0.67,0.16,-0.7,0.06,0.03,-0.02
0.19,0.67,0.16,-0.7,0.04,0.02,-0.01
0.19,0.67,0.16,-0.7,0.07,0.03,0.05
0.19,0.67,0.16,-0.7,0.1,-0.02,0.45
0.19,0.67,0.16,-0.7,0.04,0.06,-0.2
0.19,0.67,0.16,-0.69,0.02,0.1,-0.37
0.19,0.68,0.16,-0.69,-0.04,0.08,-0.82
0.19,0.68,0.16,-0.69,0.0,0.07,-0.38
0.19,0.68,0.16,-0.69,0.05,0.02,0.0
0.19,0.67,0.17,-0.69,0.09,0.04,0.21
0.19,0.67,0.17,-0.7,0.05,0.01,0.08
0.19,0.67,0.17,-0.7,0.06,0.06,0.01
0.19,0.67,0.17,-0.7,0.08,-0.01,0.26
0.19,0.67,0.17,-0.69,0.06,0.03,0.04
0.19,0.68,0.16,-0.69,0.02,0.07,-0.25
0.19,0.68,0.16,-0.69,-0.05,0.05,-0.99
0.19,0.68,0.16,-0.69,0.09,-0.01,0.12
0.19,0.67,0.17,-0.69,0.1,-0.03,0.55
0.19,0.67,0.17,-0.7,0.09,-0.01,0.38
0.19,0.67,0.16,-0.7,0.03,0.05,-0.23
0.19,0.67,0.16,-0.7,0.01,0.01,-0.28
0.19,0.67,0.16,-0.7,0.02,0.06,-0.3
0.19,0.67,0.16,-0.7,0.04,0.06,-0.14
0.19,0.67,0.16,-0.7,0.08,0.06,0.0
0.19,0.67,0.16,-0.7,0.07,0.0,0.18
0.19,0.67,0.16,-0.7,0.07,0.0,0.26
0.19,0.67,0.16,-0.7,0.05,0.04,0.04
0.19,0.67,0.16,-0.7,0.04,0.02,0.02
0.19,0.67,0.16,-0.7,0.09,0.07,0.06
0.19,0.67,0.16,-0.69,0.04,0.0,-0.05
0.19,0.68,0.16,-0.69,0.01,0.01,-0.17
0.19,0.68,0.16,-0.69,0.03,0.02,-0.21
0.19,0.68,0.17,-0.69,0.0,0.09,-0.35
0.19,0.68,0.17,-0.69,0.0,0.03,-0.37
0.19,0.68,0.17,-0.69,0.02,0.05,-0.34
0.19,0.68,0.17,-0.69,0.04,0.0,0.03
0.19,0.68,0.17,-0.69,0.06,0.0,0.22
0.19,0.68,0.17,-0.69,0.07,0.01,0.23
0.19,0.68,0.17,-0.69,0.07,0.02,0.18
0.19,0.68,0.17,-0.69,0.0,0.03,-0.28
0.19,0.68,0.17,-0.69,0.04,0.09,-0.18
0.19,0.68,0.17,-0.69,0.04,0.04,-0.12
0.19,0.68,0.17,-0.69,0.06,0.06,-0.04
0.19,0.68,0.17,-0.69,-0.06,0.07,-0.81
0.19,0.68,0.17,-0.69,-0.07,0.05,-1.14
0.19,0.68,0.17,-0.69,0.0,-0.07,-0.15
0.19,0.67,0.17,-0.69,0.12,0.02,0.43
0.19,0.67,0.17,-0.7,0.2,0.05,1.13
0.19,0.67,0.17,-0.7,0.11,-0.08,0.96
0.19,0.67,0.17,-0.69,0.03,0.09,-0.24
0.19,0.68,0.17,-0.69,-0.03,0.03,-0.79
0.19,0.68,0.17,-0.69,-0.08,0.16,-1.29
0.19,0.67,0.17,-0.69,-0.05,0.17,-1.14
0.19,0.67,0.17,-0.7,0.09,0.06,0.75
0.19,0.67,0.17,-0.7,0.13,-0.08,0.71
0.19,0.67,0.17,-0.7,0.03,0.12,-0.34
0.19,0.67,0.16,-0.7,0.0,-0.02,-0.14
0.19,0.67,0.16,-0.7,0.02,-0.03,0.12
0.19,0.67,0.16,-0.7,0.1,0.12,0.3
0.19,0.67,0.16,-0.7,0.13,0.09,0.51
0.18,0.67,0.16,-0.7,0.18,0.16,0.6
0.18,0.67,0.16,-0.7,-0.02,0.06,0.37
0.18,0.67,0.15,-0.7,-0.1,-0.12,0.37
0.17,0.68,0.15,-0.7,-0.66,-0.57,0.32
0.17,0.68,0.14,-0.7,-0.97,-0.44,0.47
0.16,0.68,0.14,-0.7,-0.9,-0.16,-0.1
0.16,0.68,0.13,-0.7,-0.83,0.02,-0.43
0.16,0.68,0.12,-0.7,-0.34,0.02,-0.14
0.16,0.68,0.12,-0.7,-0.43,-0.13,-0.13
0.16,0.68,0.11,-0.7,-0.25,0.1,-0.5
0.16,0.69,0.11,-0.7,-0.52,0.34,-0.57
0.16,0.69,0.11,-0.7,-0.46,0.32,-0.47
0.16,0.69,0.1,-0.7,-0.09,0.14,-0.69
0.16,0.69,0.1,-0.7,0.21,0.08,-0.45
0.16,0.69,0.1,-0.7,0.21,0.02,-0.41
0.16,0.69,0.11,-0.7,0.23,-0.01,-0.38
0.17,0.69,0.11,-0.7,0.2,-0.06,-0.17
0.17,0.69,0.11,-0.7,0.07,-0.17,-0.07
0.17,0.69,0.12,-0.7,-0.04,-0.42,0.27
0.17,0.69,0.12,-0.69,-0.15,-0.38,0.3
0.17,0.69,0.12,-0.69,-0.24,-0.36,0.22
0.17,0.69,0.13,-0.69,-0.28,-0.26,0.07
0.16,0.69,0.13,-0.69,0.0,-0.11,0.2
0.16,0.69,0.13,-0.69,0.08,-0.17,0.27
0.16,0.69,0.13,-0.69,0.17,-0.09,0.26
0.16,0.69,0.13,-0.69,0.13,0.0,0.14
0.15,0.69,0.12,-0.69,0.09,0.1,0.0
0.15,0.7,0.12,-0.69,0.0,0.21,-0.24
0.15,0.7,0.12,-0.69,0.02,0.21,-0.1
0.15,0.7,0.12,-0.69,0.1,0.15,-0.09
0.15,0.7,0.12,-0.69,0.12,0.12,-0.01
0.15,0.7,0.12,-0.69,0.11,0.14,-0.11
0.15,0.7,0.12,-0.69,0.22,0.18,-0.13
0.15,0.7,0.12,-0.69,0.29,0.1,-0.11
0.15,0.7,0.12,-0.69,0.23,0.0,-0.05
0.15,0.7,0.12,-0.69,0.06,-0.08,0.02
0.16,0.7,0.12,-0.69,0.12,-0.06,-0.13
0.16,0.7,0.12,-0.69,0.31,0.0,-0.03
0.16,0.7,0.12,-0.69,0.46,-0.03,0.08
0.16,0.7,0.12,-0.69,0.46,-0.02,0.07
0.16,0.7,0.12,-0.68,0.31,0.04,0.0
0.16,0.7,0.12,-0.68,0.19,0.0,0.02
0.16,0.7,0.12,-0.68,0.33,0.0,-0.05
0.15,0.7,0.11,-0.68,0.63,0.04,0.12
0.15,0.7,0.11,-0.68,0.51,0.0,0.13
0.15,0.71,0.11,-0.68,0.28,0.03,0.01
0.15,0.71,0.11,-0.68,0.07,0.05,-0.05
0.15,0.71,0.11,-0.68,0.13,0.07,-0.07
0.15,0.71,0.11,-0.68,0.34,0.09,0.04
0.15,0.71,0.11,-0.68,0.33,0.02,0.04
0.15,0.71,0.11,-0.68,0.25,0.02,-0.05
0.14,0.71,0.11,-0.68,0.22,0.02,0.01
0.14,0.71,0.11,-0.68,0.31,0.14,0.12
0.14,0.71,0.11,-0.68,0.29,0.09,0.12
0.14,0.71,0.11,-0.68,0.15,0.02,0.19
0.14,0.71,0.11,-0.68,0.14,-0.03,0.23
0.14,0.71,0.11,-0.68,0.15,-0.07,0.27
0.14,0.71,0.11,-0.68,0.1,-0.06,0.25
0.14,0.71,0.11,-0.68,0.15,-0.01,0.27
0.14,0.71,0.11,-0.68,0.01,-0.02,0.18
0.14,0.71,0.11,-0.68,0.13,0.06,-0.1
0.14,0.71,0.11,-0.68,0.45,0.1,0.03
0.14,0.71,0.11,-0.68,0.52,0.03,0.15
0.13,0.71,0.11,-0.68,0.26,0.03,0.13
0.13,0.71,0.11,-0.68,0.19,-0.01,0.17
0.13,0.71,0.11,-0.68,-0.32,0.08,-0.19
0.13,0.71,0.11,-0.68,-0.05,0.0,-0.05
0.13,0.71,0.11,-0.68,0.01,0.11,-0.06
0.13,0.71,0.11,-0.68,0.0,0.1,-0.15
0.13,0.71,0.11,-0.68,0.27,0.0,0.16
0.13,0.71,0.11,-0.68,0.2,-0.1,0.13
0.13,0.71,0.11,-0.68,0.1,-0.06,0.11
0.13,0.71,0.11,-0.68,-0.11,-0.01,-0.04
0.12,0.71,0.11,-0.68,0.01,-0.01,-0.22
0.12,0.71,0.11,-0.69,0.17,-0.07,0.01
0.12,0.71,0.1,-0.69,0.27,-0.1,0.12
0.12,0.71,0.1,-0.69,0.1,0.06,-0.21
0.12,0.71,0.1,-0.69,0.03,0.12,-0.3
0.12,0.71,0.1,-0.69,-0.09,0.0,-0.26
