q0,q1,q2,q3,acc_x,acc_y,acc_z
0.78,-0.06,-0.1,-0.61,0.23,0.03,0.34
0.78,-0.06,-0.1,-0.61,0.35,0.06,0.52
0.78,-0.06,-0.1,-0.61,0.27,0.04,0.28
0.79,-0.06,-0.09,-0.61,-0.14,-0.14,-0.38
0.79,-0.06,-0.09,-0.61,-0.11,-0.42,-0.28
0.79,-0.06,-0.09,-0.61,0.12,0.04,-0.3
0.79,-0.06,-0.09,-0.61,0.32,-0.29,0.11
0.79,-0.06,-0.09,-0.61,0.31,0.2,0.33
0.79,-0.06,-0.09,-0.61,0.1,0.17,0.22
0.79,-0.06,-0.09,-0.61,-0.03,0.09,-0.14
0.79,-0.06,-0.09,-0.61,-0.05,-0.22,-0.3
0.79,-0.06,-0.09,-0.61,0.07,-0.33,-0.22
0.79,-0.06,-0.09,-0.61,0.47,-0.35,0.23
0.79,-0.06,-0.1,-0.61,0.34,-0.04,0.23
0.79,-0.06,-0.1,-0.61,-0.04,0.0,-0.01
0.79,-0.06,-0.1,-0.61,0.04,-0.04,-0.1
0.79,-0.06,-0.1,-0.61,0.12,-0.06,0.01
0.79,-0.06,-0.1,-0.61,0.29,0.0,0.18
0.79,-0.06,-0.1,-0.61,0.12,0.12,0.07
0.79,-0.06,-0.1,-0.61,0.06,0.07,0.01
0.79,-0.06,-0.1,-0.61,0.09,-0.12,-0.05
0.79,-0.06,-0.1,-0.61,0.19,-0.48,-0.05
0.79,-0.06,-0.1,-0.61,0.34,-0.56,0.07
0.79,-0.06,-0.1,-0.61,0.06,-0.14,0.06
0.79,-0.06,-0.1,-0.6,-0.03,-0.07,-0.18
0.79,-0.06,-0.1,-0.6,0.0,-0.12,-0.22
0.79,-0.06,-0.1,-0.6,0.02,-0.24,-0.18
0.79,-0.06,-0.1,-0.6,0.08,-0.38,-0.16
0.79,-0.06,-0.1,-0.6,0.11,-0.14,-0.23
0.79,-0.06,-0.1,-0.6,0.09,0.0,-0.11
0.79,-0.06,-0.1,-0.6,0.13,0.04,0.03
0.79,-0.06,-0.1,-0.6,0.22,-0.2,0.2
0.79,-0.06,-0.1,-0.6,0.09,-0.08,0.22
0.79,-0.06,-0.1,-0.6,0.03,-0.08,-0.02
0.79,-0.06,-0.1,-0.6,0.07,-0.06,-0.03
0.79,-0.06,-0.1,-0.6,0.11,-0.32,0.0
0.79,-0.06,-0.1,-0.6,0.04,-0.3,-0.17
0.79,-0.06,-0.1,-0.6,0.12,-0.13,-0.04
0.79,-0.06,-0.1,-0.6,0.15,0.08,0.03
0.79,-0.06,-0.1,-0.6,0.24,-0.13,0.41
0.79,-0.06,-0.1,-0.6,0.18,-0.03,0.44
0.79,-0.06,-0.1,-0.6,0.24,0.0,0.67
0.79,-0.06,-0.1,-0.6,0.11,0.2,0.23
0.79,-0.06,-0.1,-0.6,0.01,-0.2,-0.12
0.79,-0.06,-0.1,-0.6,-0.13,-0.17,-0.3
0.79,-0.06,-0.1,-0.6,0.11,-0.07,-0.04
0.79,-0.06,-0.1,-0.6,0.26,-0.36,0.11
0.79,-0.05,-0.1,-0.6,0.21,-0.21,0.3
0.8,-0.05,-0.11,-0.59,0.15,0.39,0.0
0.8,-0.05,-0.11,-0.59,0.05,0.29,-0.07
0.8,-0.05,-0.11,-0.59,0.08,-0.1,-0.04
0.8,-0.05,-0.11,-0.59,-0.06,-0.13,-0.17
0.8,-0.05,-0.11,-0.59,-0.01,0.14,-0.18
0.8,-0.05,-0.11,-0.59,0.21,-0.06,0.21
0.8,-0.05,-0.11,-0.59,0.17,-0.34,0.41
0.8,-0.05,-0.11,-0.59,0.29,-0.37,0.73
0.8,-0.04,-0.11,-0.59,-0.08,-0.37,-0.38
0.8,-0.04,-0.11,-0.59,-0.08,0.24,-0.43
0.8,-0.04,-0.11,-0.59,-0.02,0.37,-0.33
0.8,-0.04,-0.11,-0.58,0.07,0.07,0.32
0.8,-0.04,-0.11,-0.58,0.03,-0.53,0.03
0.8,-0.04,-0.11,-0.58,-0.05,-0.19,-0.18
0.8,-0.04,-0.11,-0.58,0.11,0.13,0.01
0.8,-0.04,-0.11,-0.58,0.04,-0.06,-0.26
0.81,-0.04,-0.11,-0.58,-0.08,-0.03,-0.15
0.81,-0.04,-0.11,-0.58,0.24,-0.29,0.33
0.81,-0.04,-0.11,-0.58,0.07,-0.36,0.27
0.81,-0.04,-0.11,-0.58,-0.04,0.4,-0.04
0.81,-0.04,-0.11,-0.58,-0.06,0.49,-0.29
0.81,-0.04,-0.11,-0.58,-0.15,0.12,0.0
0.81,-0.04,-0.11,-0.58,0.24,-0.04,0.16
0.81,-0.04,-0.12,-0.58,0.19,-0.57,0.01
0.81,-0.04,-0.12,-0.57,-0.02,0.07,-0.06
0.81,-0.03,-0.12,-0.57,0.03,0.13,0.09
0.81,-0.03,-0.12,-0.57,0.08,0.19,0.26
0.81,-0.03,-0.12,-0.57,0.0,0.47,0.01
0.81,-0.03,-0.12,-0.57,0.26,-0.33,0.23
0.81,-0.03,-0.12,-0.57,0.14,-0.45,0.13
0.81,-0.03,-0.12,-0.57,0.03,0.26,0.09
0.81,-0.03,-0.12,-0.57,0.1,0.02,0.64
0.81,-0.03,-0.12,-0.57,0.18,-0.27,0.27
0.81,-0.03,-0.12,-0.57,0.19,0.02,0.09
0.81,-0.03,-0.11,-0.57,0.31,0.1,0.56
0.81,-0.03,-0.11,-0.58,-0.06,0.03,0.03
0.81,-0.03,-0.11,-0.58,-0.24,0.32,-0.07
0.81,-0.03,-0.11,-0.58,-0.2,0.34,0.1
0.81,-0.04,-0.11,-0.58,0.27,-0.67,-0.17
0.81,-0.04,-0.1,-0.58,0.4,-0.98,-0.01
0.81,-0.04,-0.1,-0.58,0.42,-0.17,0.1
0.81,-0.04,-0.1,-0.58,-0.1,0.13,0.05
0.81,-0.04,-0.1,-0.58,0.04,0.19,0.36
0.81,-0.04,-0.1,-0.58,0.38,-0.4,0.3
0.81,-0.04,-0.1,-0.58,0.98,-0.3,0.09
0.81,-0.04,-0.1,-0.58,0.67,0.69,0.01
0.81,-0.04,-0.09,-0.57,0.06,1.23,0.0
0.81,-0.04,-0.09,-0.57,-0.97,-0.22,0.8
0.81,-0.04,-0.09,-0.58,-0.02,-1.7,0.86
0.81,-0.04,-0.09,-0.58,-0.04,-0.01,0.27
0.81,-0.03,-0.09,-0.57,0.64,0.58,0.36
0.81,-0.03,-0.09,-0.57,-0.09,1.03,0.82
0.81,-0.03,-0.09,-0.57,-0.57,0.75,0.84
0.81,-0.03,-0.09,-0.58,-0.37,0.14,1.08
0.81,-0.03,-0.09,-0.58,0.24,-0.49,1.23
0.81,-0.03,-0.09,-0.58,0.63,-0.61,1.15
0.81,-0.03,-0.09,-0.58,0.25,0.24,0.82
0.81,-0.03,-0.09,-0.58,-0.16,0.43,0.53
0.81,-0.03,-0.09,-0.58,0.17,-0.83,0.38
0.8,-0.03,-0.09,-0.59,0.38,-0.71,0.47
0.8,-0.03,-0.1,-0.59,0.62,0.05,0.32
0.8,-0.03,-0.1,-0.59,0.47,0.88,0.34
0.8,-0.03,-0.1,-0.59,0.19,0.55,0.32
0.8,-0.03,-0.1,-0.59,-0.04,-0.21,0.09
0.8,-0.03,-0.1,-0.59,-0.07,-0.17,0.07
0.8,-0.02,-0.1,-0.59,0.44,-0.96,0.25
0.8,-0.02,-0.1,-0.59,0.34,0.11,0.03
0.8,-0.02,-0.1,-0.59,0.31,0.62,-0.07
0.8,-0.02,-0.1,-0.6,0.08,0.28,-0.25
0.79,-0.02,-0.1,-0.6,0.0,-0.54,-0.17
0.79,-0.02,-0.1,-0.6,0.31,-1.0,-0.07
0.79,-0.02,-0.1,-0.6,0.78,-0.55,-0.13
0.79,-0.01,-0.1,-0.6,0.26,0.6,-0.17
0.79,-0.01,-0.1,-0.6,0.18,0.17,-0.27
0.79,-0.01,-0.1,-0.61,-0.32,-0.09,-0.31
0.79,-0.01,-0.1,-0.61,0.3,-1.23,-0.29
0.79,-0.01,-0.1,-0.61,0.22,-0.48,-0.43
0.79,-0.01,-0.1,-0.61,0.19,-0.38,-0.41
0.78,-0.0,-0.1,-0.61,-0.24,0.24,-0.39
0.78,-0.0,-0.1,-0.61,-0.29,0.03,-0.15
0.78,-0.0,-0.1,-0.62,-0.23,0.21,-0.31
0.78,-0.0,-0.1,-0.62,0.26,-0.97,-0.18
0.78,-0.0,-0.1,-0.62,0.32,-0.89,-0.18
0.78,0.0,-0.1,-0.62,0.13,-0.14,-0.24
0.78,0.0,-0.1,-0.62,-0.01,0.04,-0.3
0.78,0.0,-0.1,-0.62,-0.02,-0.34,-0.14
0.78,0.0,-0.1,-0.62,-0.05,-0.33,-0.2
0.78,0.0,-0.1,-0.62,0.21,-0.33,-0.26
0.78,0.01,-0.1,-0.62,0.21,0.04,-0.21
0.77,0.01,-0.1,-0.62,0.16,0.32,-0.24
0.77,0.01,-0.1,-0.63,0.01,0.01,-0.36
0.77,0.01,-0.1,-0.63,0.0,-0.4,-0.34
0.78,0.01,-0.1,-0.62,0.28,-0.47,-0.2
0.78,0.01,-0.1,-0.62,0.36,0.35,-0.23
0.78,0.01,-0.1,-0.62,0.22,0.65,-0.14
0.78,0.01,-0.1,-0.62,0.16,0.1,-0.06
0.78,0.01,-0.1,-0.62,0.28,0.0,-0.05
0.78,0.01,-0.1,-0.62,0.21,0.05,-0.16
0.78,0.01,-0.1,-0.62,0.3,-0.49,-0.06
0.78,0.01,-0.1,-0.62,-0.06,0.17,-0.01
0.78,0.01,-0.1,-0.62,0.0,-0.43,0.03
0.78,0.01,-0.1,-0.61,0.33,-0.47,-0.08
0.78,0.02,-0.11,-0.61,0.12,0.91,-0.01
0.78,0.02,-0.11,-0.62,0.29,0.48,0.04
0.78,0.02,-0.1,-0.61,-0.43,0.22,0.06
0.78,0.02,-0.1,-0.62,-0.21,-0.35,0.02
0.78,0.02,-0.1,-0.62,-0.05,-0.63,0.17
0.78,0.01,-0.1,-0.61,0.33,-0.25,0.08
0.78,0.01,-0.1,-0.61,0.34,0.1,0.38
0.78,0.01,-0.1,-0.61,0.18,0.4,0.14
0.78,0.02,-0.1,-0.61,0.09,0.16,0.0
0.78,0.01,-0.1,-0.61,0.02,0.22,-0.36
0.78,0.01,-0.1,-0.61,-0.23,0.39,-0.5
0.78,0.01,-0.1,-0.61,-0.07,-1.05,0.14
0.78,0.02,-0.11,-0.61,0.36,0.42,0.17
0.78,0.02,-0.11,-0.61,-0.13,0.47,0.2
0.78,0.02,-0.11,-0.61,0.18,-0.01,-0.04
0.78,0.02,-0.11,-0.61,0.09,-0.44,-0.24
0.78,0.02,-0.11,-0.61,0.03,-0.79,0.23
0.78,0.02,-0.11,-0.61,-0.11,0.03,0.07
0.78,0.02,-0.11,-0.61,0.24,0.66,0.04
0.78,0.02,-0.11,-0.61,0.12,0.51,0.14
0.78,0.02,-0.11,-0.61,0.28,-0.43,0.23
0.78,0.02,-0.11,-0.61,0.23,-0.26,0.16
0.78,0.02,-0.11,-0.61,0.35,-0.13,0.25
0.78,0.02,-0.11,-0.61,0.12,-0.5,0.24
0.78,0.02,-0.11,-0.61,0.38,-0.62,0.12
0.78,0.02,-0.11,-0.61,0.27,-0.5,0.03
0.78,0.02,-0.11,-0.61,0.18,-0.33,0.26
0.78,0.02,-0.11,-0.61,-0.16,0.21,0.15
0.78,0.02,-0.11,-0.61,0.05,0.2,0.28
0.79,0.02,-0.12,-0.61,0.66,-0.6,0.2
0.79,0.02,-0.12,-0.61,0.09,0.37,0.06
0.79,0.02,-0.12,-0.61,0.35,-1.04,0.21
