q0,q1,q2,q3,acc_x,acc_y,acc_z
0.61,-0.07,-0.12,-0.78,0.1,-0.24,0.08
0.61,-0.07,-0.12,-0.78,0.1,-0.14,-0.12
0.61,-0.07,-0.12,-0.78,0.08,0.81,-0.19
0.61,-0.07,-0.12,-0.78,0.03,0.78,-0.12
0.61,-0.07,-0.12,-0.78,0.02,0.14,0.27
0.61,-0.07,-0.12,-0.78,0.19,-0.62,0.28
0.61,-0.07,-0.12,-0.78,0.09,-0.65,0.16
0.61,-0.07,-0.12,-0.78,0.16,-0.33,-0.04
0.6,-0.07,-0.12,-0.78,0.06,0.15,-0.03
0.6,-0.07,-0.12,-0.78,-0.03,0.37,0.1
0.6,-0.07,-0.12,-0.78,0.02,0.08,0.14
0.6,-0.06,-0.12,-0.78,0.28,0.03,-0.04
0.6,-0.06,-0.12,-0.78,0.29,0.12,0.08
0.6,-0.06,-0.12,-0.78,-0.11,0.5,0.27
0.6,-0.06,-0.12,-0.79,-0.13,-0.01,0.22
0.6,-0.06,-0.12,-0.79,-0.14,-0.18,0.12
0.6,-0.06,-0.12,-0.79,0.12,-0.1,0.19
0.6,-0.06,-0.12,-0.79,0.36,-0.44,0.08
0.6,-0.06,-0.12,-0.79,0.27,-0.36,0.08
0.6,-0.06,-0.12,-0.79,0.18,0.0,0.16
0.6,-0.06,-0.12,-0.79,0.12,0.01,0.09
0.6,-0.06,-0.12,-0.79,0.22,-0.19,0.24
0.6,-0.06,-0.12,-0.79,0.21,-0.11,0.11
0.6,-0.06,-0.12,-0.79,0.24,-0.33,0.04
0.6,-0.06,-0.12,-0.79,0.23,-0.53,0.12
0.6,-0.06,-0.12,-0.79,-0.15,0.01,-0.01
0.6,-0.06,-0.12,-0.79,-0.11,0.08,0.16
0.6,-0.06,-0.12,-0.79,-0.18,-0.07,0.18
0.6,-0.06,-0.12,-0.79,-0.07,-0.02,0.44
0.6,-0.06,-0.12,-0.79,-0.16,0.32,0.11
0.6,-0.06,-0.12,-0.79,-0.16,0.27,0.07
0.6,-0.06,-0.12,-0.79,-0.06,-0.03,0.11
0.6,-0.06,-0.12,-0.79,-0.18,-0.19,0.21
0.6,-0.06,-0.12,-0.79,-0.21,-0.1,0.1
0.6,-0.06,-0.12,-0.79,-0.29,0.28,0.0
0.6,-0.06,-0.12,-0.79,-0.13,-0.32,0.24
0.6,-0.06,-0.12,-0.79,0.0,-0.45,0.47
0.6,-0.05,-0.12,-0.78,-0.12,0.25,0.01
0.61,-0.05,-0.12,-0.78,-0.09,0.47,0.03
0.61,-0.05,-0.13,-0.78,0.07,0.23,0.18
0.61,-0.05,-0.13,-0.78,0.16,-0.1,0.12
0.61,-0.05,-0.13,-0.78,0.1,0.33,0.08
0.61,-0.05,-0.13,-0.78,0.23,-0.18,0.18
0.61,-0.05,-0.12,-0.78,0.08,-0.04,-0.23
0.62,-0.05,-0.12,-0.78,-0.08,0.64,-0.13
0.62,-0.05,-0.12,-0.78,-0.03,0.75,-0.17
0.62,-0.05,-0.12,-0.77,0.06,0.26,0.33
0.62,-0.05,-0.12,-0.77,-0.11,-0.08,0.28
0.62,-0.05,-0.12,-0.77,0.0,-0.42,0.36
0.63,-0.05,-0.12,-0.77,-0.14,0.03,-0.14
0.63,-0.05,-0.12,-0.77,0.05,-0.28,0.13
0.63,-0.06,-0.12,-0.77,0.12,-0.44,0.34
0.63,-0.06,-0.11,-0.77,0.05,-0.12,0.33
0.63,-0.06,-0.11,-0.76,-0.02,-0.23,0.1
0.63,-0.06,-0.11,-0.76,-0.1,-0.07,0.0
0.63,-0.06,-0.11,-0.76,-0.33,-0.1,0.39
0.64,-0.06,-0.11,-0.76,-0.22,-0.15,0.37
0.64,-0.06,-0.11,-0.76,-0.15,0.21,0.07
0.64,-0.06,-0.12,-0.76,0.08,0.34,0.09
0.64,-0.06,-0.12,-0.76,-0.17,0.7,-0.01
0.64,-0.06,-0.12,-0.76,-0.27,0.42,0.07
0.64,-0.06,-0.12,-0.76,-0.26,0.05,0.15
0.64,-0.06,-0.12,-0.76,0.05,-0.02,0.0
0.64,-0.06,-0.12,-0.76,0.05,0.52,-0.14
0.64,-0.06,-0.12,-0.76,-0.07,0.35,0.07
0.64,-0.06,-0.12,-0.76,0.21,-0.31,0.58
0.64,-0.07,-0.12,-0.76,0.09,-0.45,0.4
0.64,-0.06,-0.12,-0.76,-0.22,0.52,0.11
0.64,-0.06,-0.12,-0.76,0.12,0.11,-0.09
0.63,-0.06,-0.12,-0.76,0.01,0.17,-0.1
0.63,-0.07,-0.11,-0.76,-0.15,0.23,0.0
0.63,-0.07,-0.11,-0.76,0.21,-0.49,0.29
0.63,-0.07,-0.11,-0.76,0.25,-0.71,0.39
0.63,-0.07,-0.11,-0.77,0.15,-0.46,0.17
0.63,-0.07,-0.11,-0.77,0.23,0.12,0.04
0.63,-0.07,-0.11,-0.77,0.07,0.52,-0.09
0.63,-0.07,-0.11,-0.77,0.05,0.82,0.07
0.63,-0.07,-0.11,-0.77,0.14,0.26,0.32
0.63,-0.07,-0.11,-0.77,0.12,-0.63,0.21
0.63,-0.07,-0.11,-0.77,-0.03,-0.29,0.02
0.63,-0.07,-0.11,-0.77,-0.12,0.1,0.0
0.63,-0.07,-0.11,-0.77,-0.12,0.01,0.08
0.63,-0.07,-0.11,-0.77,-0.22,0.02,0.16
0.63,-0.07,-0.11,-0.77,0.04,-0.3,0.24
0.63,-0.07,-0.11,-0.77,0.13,-0.11,0.27
0.62,-0.07,-0.11,-0.77,0.09,0.35,0.19
0.62,-0.07,-0.11,-0.77,0.11,0.12,0.12
0.62,-0.07,-0.11,-0.77,0.0,0.12,-0.05
0.62,-0.07,-0.1,-0.77,-0.03,-0.01,-0.07
0.62,-0.07,-0.1,-0.77,0.05,-0.36,0.09
0.62,-0.07,-0.1,-0.77,0.01,-0.05,0.1
0.62,-0.07,-0.1,-0.77,0.01,0.12,0.11
0.62,-0.07,-0.1,-0.77,0.01,-0.1,0.14
0.62,-0.07,-0.1,-0.77,0.01,-0.17,0.19
0.62,-0.07,-0.1,-0.77,0.05,-0.02,0.11
0.62,-0.07,-0.1,-0.77,0.03,0.06,0.15
0.62,-0.07,-0.1,-0.77,-0.03,0.11,0.13
0.62,-0.07,-0.1,-0.77,-0.03,-0.17,0.19
0.62,-0.07,-0.1,-0.77,-0.02,0.08,-0.01
0.62,-0.07,-0.1,-0.77,-0.02,0.21,-0.04
0.62,-0.07,-0.1,-0.77,0.0,-0.06,0.02
0.62,-0.07,-0.1,-0.77,-0.19,0.13,0.12
0.62,-0.07,-0.1,-0.77,-0.21,0.12,0.2
0.63,-0.07,-0.1,-0.77,0.05,-0.34,0.28
0.63,-0.06,-0.1,-0.77,-0.08,-0.11,0.31
0.63,-0.06,-0.1,-0.77,-0.09,0.15,0.14
0.63,-0.06,-0.1,-0.77,0.01,0.42,0.08
0.63,-0.06,-0.1,-0.77,0.0,0.37,0.12
0.63,-0.06,-0.1,-0.77,-0.07,0.25,0.0
0.63,-0.06,-0.1,-0.77,-0.25,0.23,0.0
0.63,-0.06,-0.1,-0.77,-0.03,-0.24,0.06
0.63,-0.06,-0.1,-0.77,-0.08,-0.16,0.01
0.63,-0.06,-0.1,-0.77,0.12,-0.1,0.03
0.63,-0.06,-0.1,-0.77,0.17,0.07,0.0
0.63,-0.06,-0.1,-0.77,0.0,0.01,0.08
0.63,-0.06,-0.1,-0.77,0.01,0.0,0.28
0.63,-0.06,-0.1,-0.77,0.09,-0.06,0.28
0.63,-0.06,-0.1,-0.77,0.1,-0.05,0.02
0.63,-0.06,-0.1,-0.77,0.11,0.02,0.06
0.63,-0.06,-0.1,-0.77,0.15,-0.06,0.19
0.63,-0.06,-0.1,-0.77,0.13,-0.07,0.24
0.63,-0.06,-0.1,-0.77,-0.04,0.02,0.01
0.63,-0.06,-0.1,-0.77,-0.03,0.02,0.12
0.63,-0.06,-0.1,-0.77,-0.05,-0.17,0.13
0.63,-0.06,-0.1,-0.77,-0.08,0.01,0.2
0.63,-0.06,-0.1,-0.77,0.05,0.12,0.17
0.63,-0.06,-0.1,-0.77,-0.02,0.22,0.03
0.63,-0.06,-0.1,-0.77,-0.17,0.17,0.09
0.63,-0.06,-0.1,-0.77,-0.14,-0.08,0.14
0.63,-0.06,-0.1,-0.77,-0.07,-0.01,0.16
0.63,-0.06,-0.1,-0.77,0.11,-0.13,0.2
0.63,-0.06,-0.1,-0.77,0.02,0.0,0.11
0.63,-0.06,-0.1,-0.77,-0.07,0.11,0.05
0.63,-0.06,-0.1,-0.77,-0.15,0.04,0.05
0.63,-0.06,-0.1,-0.77,-0.17,-0.01,0.07
0.63,-0.06,-0.1,-0.77,0.07,-0.03,0.22
0.63,-0.06,-0.1,-0.77,0.14,0.02,0.15
0.63,-0.06,-0.1,-0.77,0.12,0.15,0.03
0.63,-0.06,-0.1,-0.77,0.11,-0.04,0.02
0.63,-0.06,-0.1,-0.77,0.05,-0.13,0.07
0.63,-0.06,-0.1,-0.77,0.04,0.12,0.12
0.63,-0.06,-0.1,-0.77,0.05,-0.01,0.14
0.63,-0.06,-0.1,-0.77,0.07,-0.13,0.07
0.63,-0.06,-0.1,-0.77,0.01,0.0,0.13
0.63,-0.06,-0.1,-0.77,0.1,0.19,0.11
0.63,-0.06,-0.1,-0.77,0.04,0.15,0.07
0.63,-0.06,-0.1,-0.77,0.06,0.19,0.06
0.63,-0.06,-0.1,-0.77,-0.03,0.17,0.22
0.63,-0.06,-0.1,-0.77,-0.03,-0.05,0.09
0.63,-0.06,-0.1,-0.77,0.06,-0.18,0.11
0.63,-0.06,-0.1,-0.77,0.05,-0.19,0.21
0.63,-0.06,-0.1,-0.77,-0.03,-0.14,0.21
0.63,-0.06,-0.1,-0.77,-0.03,0.12,0.0
