q0,q1,q2,q3,acc_x,acc_y,acc_z
0.18,0.7,0.16,-0.68,0.07,-0.04,0.1
0.18,0.7,0.16,-0.68,0.06,-0.01,0.08
0.18,0.7,0.16,-0.68,0.06,-0.01,0.05
0.18,0.7,0.16,-0.67,0.04,-0.03,-0.07
0.18,0.7,0.16,-0.67,0.03,-0.03,-0.33
0.18,0.7,0.16,-0.67,0.02,-0.03,-0.33
0.18,0.7,0.16,-0.67,0.05,0.0,-0.16
0.18,0.7,0.16,-0.67,0.07,-0.01,0.05
0.18,0.7,0.16,-0.67,0.05,-0.03,0.13
0.18,0.7,0.16,-0.67,0.08,-0.02,0.17
0.18,0.7,0.16,-0.67,0.04,-0.03,-0.02
0.18,0.7,0.16,-0.67,0.06,-0.04,-0.08
0.18,0.7,0.16,-0.67,0.04,-0.01,-0.15
0.18,0.7,0.16,-0.67,0.03,-0.02,-0.34
0.18,0.7,0.16,-0.67,0.04,-0.05,-0.33
0.18,0.7,0.16,-0.67,0.03,-0.01,-0.27
0.18,0.7,0.16,-0.67,0.04,-0.01,-0.12
0.18,0.7,0.16,-0.67,0.05,-0.02,-0.05
0.18,0.7,0.16,-0.67,0.07,-0.02,0.06
0.18,0.7,0.16,-0.67,0.05,-0.03,0.1
0.18,0.7,0.16,-0.67,0.06,-0.05,0.14
0.18,0.7,0.16,-0.67,0.07,0.0,0.13
0.18,0.7,0.16,-0.67,0.07,-0.03,0.2
0.18,0.7,0.16,-0.67,0.08,-0.03,0.22
0.18,0.7,0.16,-0.67,0.09,-0.04,0.17
0.18,0.7,0.16,-0.67,0.06,-0.01,0.02
0.18,0.7,0.16,-0.67,0.04,0.0,-0.05
0.18,0.7,0.16,-0.67,0.05,0.02,-0.19
0.18,0.7,0.16,-0.67,0.04,-0.05,-0.22
0.18,0.7,0.16,-0.67,0.04,-0.05,-0.16
0.18,0.7,0.16,-0.67,0.06,0.0,0.0
0.18,0.7,0.16,-0.67,0.07,-0.02,0.2
0.18,0.7,0.16,-0.67,0.08,0.0,0.26
0.18,0.7,0.16,-0.67,0.1,-0.03,0.24
0.18,0.7,0.16,-0.67,0.06,-0.01,0.02
0.18,0.7,0.16,-0.67,0.05,-0.01,0.01
0.18,0.7,0.16,-0.67,0.07,0.01,0.0
0.18,0.7,0.16,-0.68,0.07,-0.01,0.16
0.18,0.7,0.16,-0.68,0.1,-0.02,0.22
0.18,0.7,0.16,-0.68,0.06,-0.02,0.14
0.18,0.7,0.16,-0.68,0.03,0.0,-0.08
0.18,0.7,0.16,-0.68,0.04,0.0,-0.1
0.18,0.7,0.16,-0.68,0.07,-0.01,0.01
0.18,0.7,0.16,-0.68,0.08,-0.08,0.32
0.18,0.7,0.16,-0.68,0.09,0.01,0.18
0.18,0.7,0.16,-0.67,0.04,-0.05,-0.13
0.18,0.7,0.16,-0.67,0.0,0.0,-0.36
0.18,0.7,0.16,-0.67,0.04,0.0,-0.33
0.18,0.7,0.16,-0.67,0.08,-0.01,-0.08
0.18,0.7,0.16,-0.67,0.05,-0.01,0.05
0.18,0.7,0.16,-0.68,0.06,0.0,0.03
0.18,0.7,0.16,-0.68,0.07,-0.05,0.05
0.18,0.7,0.16,-0.68,0.07,-0.06,0.11
0.18,0.7,0.16,-0.68,0.07,-0.02,0.14
0.18,0.7,0.16,-0.68,0.06,-0.06,0.13
0.18,0.7,0.16,-0.68,0.07,-0.02,0.2
0.18,0.7,0.16,-0.68,0.09,-0.04,0.33
0.18,0.7,0.16,-0.68,0.09,0.0,0.31
0.18,0.7,0.16,-0.68,0.05,-0.01,-0.03
0.18,0.7,0.16,-0.67,0.02,0.0,-0.22
0.18,0.7,0.16,-0.67,0.0,0.0,-0.63
0.18,0.7,0.16,-0.67,0.01,-0.05,-0.42
0.18,0.7,0.16,-0.67,0.05,-0.05,-0.03
0.18,0.7,0.16,-0.68,0.07,-0.02,0.22
0.18,0.7,0.16,-0.68,0.1,0.01,0.26
0.18,0.7,0.16,-0.68,0.1,0.0,0.22
0.18,0.7,0.16,-0.68,0.04,-0.01,-0.23
0.18,0.7,0.16,-0.68,0.02,-0.08,-0.14
0.18,0.7,0.16,-0.68,0.0,-0.01,-0.43
0.18,0.7,0.16,-0.68,0.01,-0.03,-0.23
0.18,0.7,0.16,-0.68,0.06,-0.01,0.0
0.18,0.7,0.16,-0.68,0.07,-0.03,0.14
0.18,0.7,0.16,-0.68,0.07,-0.05,0.22
0.18,0.69,0.16,-0.68,0.1,-0.01,0.29
0.18,0.69,0.16,-0.68,0.1,0.0,0.19
0.18,0.69,0.16,-0.68,0.05,-0.05,0.04
0.18,0.7,0.16,-0.68,0.07,0.0,-0.12
0.18,0.7,0.16,-0.68,0.04,-0.01,-0.03
0.18,0.7,0.16,-0.68,0.06,-0.01,0.06
0.18,0.7,0.16,-0.68,0.07,0.0,0.09
0.18,0.7,0.16,-0.68,0.07,-0.02,0.06
0.18,0.7,0.16,-0.68,0.05,-0.01,0.09
0.18,0.7,0.16,-0.68,0.05,-0.01,0.14
0.18,0.7,0.16,-0.68,0.07,-0.04,0.09
0.18,0.7,0.16,-0.68,0.06,0.02,-0.22
0.18,0.7,0.16,-0.68,0.05,-0.04,-0.1
0.18,0.7,0.16,-0.68,0.06,-0.05,-0.06
0.18,0.7,0.16,-0.68,0.03,-0.06,0.03
0.18,0.7,0.16,-0.68,0.01,-0.03,-0.29
0.18,0.7,0.16,-0.68,0.0,-0.04,-0.29
0.18,0.7,0.16,-0.68,0.11,0.03,0.09
0.18,0.69,0.16,-0.68,0.09,-0.02,0.27
0.18,0.69,0.16,-0.68,0.1,-0.02,0.27
0.18,0.69,0.16,-0.68,0.09,0.03,0.19
0.18,0.69,0.16,-0.68,0.06,0.0,-0.04
0.18,0.69,0.16,-0.68,0.05,0.0,-0.13
0.18,0.69,0.16,-0.68,0.06,-0.01,0.02
0.18,0.69,0.16,-0.68,0.08,0.05,0.02
0.18,0.69,0.16,-0.68,0.08,-0.02,0.11
0.18,0.69,0.16,-0.68,0.09,0.0,0.11
0.18,0.69,0.16,-0.68,0.07,-0.03,0.07
0.18,0.69,0.16,-0.68,0.06,0.0,0.02
0.18,0.7,0.16,-0.68,0.07,-0.01,0.02
0.18,0.7,0.16,-0.68,0.05,0.0,-0.04
0.18,0.7,0.16,-0.68,0.06,0.0,-0.08
0.18,0.7,0.16,-0.68,0.05,-0.06,0.07
0.18,0.7,0.16,-0.68,0.05,-0.02,0.01
0.18,0.7,0.16,-0.68,0.05,0.0,-0.05
0.18,0.7,0.16,-0.68,0.04,-0.02,-0.06
0.18,0.7,0.16,-0.68,0.03,-0.01,-0.23
0.18,0.7,0.16,-0.68,0.06,0.0,-0.13
0.18,0.7,0.16,-0.68,0.07,-0.06,0.21
0.18,0.7,0.16,-0.68,0.08,-0.03,0.17
0.18,0.7,0.16,-0.67,0.05,-0.01,-0.11
0.18,0.7,0.16,-0.67,0.05,0.0,-0.17
0.18,0.7,0.16,-0.67,0.03,-0.02,-0.17
0.18,0.7,0.16,-0.67,0.03,-0.01,-0.06
0.18,0.7,0.16,-0.67,0.05,0.0,-0.06
0.18,0.7,0.16,-0.67,0.04,-0.04,0.04
0.18,0.7,0.16,-0.67,0.07,-0.03,0.12
0.18,0.7,0.16,-0.67,0.05,-0.02,0.01
