q0,q1,q2,q3,acc_x,acc_y,acc_z
0.47,-0.17,-0.09,-0.86,1.05,-0.18,-0.27
0.47,-0.17,-0.09,-0.86,0.94,0.09,-0.64
0.47,-0.17,-0.09,-0.86,0.74,0.51,-0.71
0.47,-0.17,-0.09,-0.86,1.25,0.11,0.21
0.47,-0.17,-0.09,-0.86,1.1,0.01,0.55
0.47,-0.17,-0.09,-0.86,0.43,0.13,0.34
0.47,-0.17,-0.09,-0.86,-0.26,0.01,-0.4
0.47,-0.17,-0.08,-0.86,-0.28,-0.2,-0.07
0.47,-0.17,-0.08,-0.86,-0.34,-0.42,0.99
0.47,-0.17,-0.08,-0.86,0.05,0.4,1.37
0.47,-0.16,-0.08,-0.86,-0.11,0.75,1.18
0.48,-0.16,-0.08,-0.86,-1.3,1.04,-0.64
0.48,-0.16,-0.07,-0.86,-1.11,0.42,-0.91
0.48,-0.16,-0.07,-0.86,-0.98,-0.31,-0.54
0.48,-0.16,-0.06,-0.86,-0.71,-0.54,0.21
0.48,-0.17,-0.06,-0.86,-0.78,-1.02,0.38
0.48,-0.17,-0.06,-0.86,-0.59,0.06,0.41
0.48,-0.17,-0.06,-0.86,-0.68,0.98,0.05
0.48,-0.17,-0.06,-0.86,-0.57,0.56,-0.63
0.48,-0.17,-0.05,-0.86,-0.37,-0.14,-0.28
0.48,-0.17,-0.05,-0.86,0.04,-1.29,-0.07
0.48,-0.18,-0.05,-0.86,0.54,-2.07,0.67
0.48,-0.18,-0.05,-0.86,0.77,-1.66,0.85
0.48,-0.18,-0.05,-0.85,0.77,-0.4,0.98
0.49,-0.18,-0.05,-0.85,0.58,-0.02,0.87
0.49,-0.19,-0.05,-0.85,0.68,-0.47,1.04
0.49,-0.19,-0.05,-0.85,0.88,-0.51,1.11
0.5,-0.19,-0.05,-0.85,0.41,-0.55,0.57
0.5,-0.19,-0.05,-0.85,0.33,-0.46,0.35
0.5,-0.19,-0.05,-0.84,0.23,-0.07,0.16
0.5,-0.19,-0.04,-0.84,0.38,-0.39,0.28
