q0,q1,q2,q3,acc_x,acc_y,acc_z
0.3,0.65,0.29,-0.63,0.26,0.04,-0.04
0.3,0.65,0.29,-0.63,0.29,0.02,-0.06
0.3,0.65,0.29,-0.63,0.27,0.03,-0.15
0.3,0.65,0.29,-0.63,0.26,0.05,-0.05
0.3,0.65,0.29,-0.63,0.27,0.0,0.03
0.3,0.66,0.29,-0.63,0.28,0.08,0.15
0.3,0.66,0.29,-0.63,0.27,-0.01,-0.05
0.3,0.66,0.29,-0.63,0.25,0.0,-0.06
0.3,0.66,0.29,-0.63,0.28,0.04,-0.04
0.3,0.66,0.29,-0.63,0.27,0.09,0.01
0.3,0.66,0.29,-0.63,0.27,0.05,0.02
0.3,0.66,0.29,-0.63,0.23,0.03,-0.18
0.3,0.66,0.29,-0.63,0.22,-0.01,-0.32
0.3,0.66,0.29,-0.63,0.26,0.05,-0.14
0.3,0.66,0.29,-0.63,0.28,0.04,0.12
0.3,0.66,0.29,-0.63,0.28,0.03,0.12
0.3,0.66,0.29,-0.63,0.25,0.04,0.0
0.29,0.66,0.29,-0.63,0.24,0.02,-0.25
0.29,0.66,0.29,-0.63,0.22,0.0,-0.32
0.29,0.66,0.29,-0.63,0.23,0.03,-0.25
0.3,0.66,0.29,-0.63,0.24,0.01,-0.03
0.3,0.66,0.29,-0.63,0.29,0.0,0.05
0.3,0.66,0.29,-0.63,0.25,0.02,0.0
0.3,0.66,0.29,-0.63,0.22,0.0,-0.2
0.3,0.66,0.29,-0.63,0.25,0.01,-0.21
0.3,0.66,0.29,-0.63,0.26,0.01,-0.12
0.3,0.66,0.29,-0.63,0.36,0.16,0.21
0.3,0.66,0.29,-0.63,0.34,0.1,0.41
0.3,0.66,0.29,-0.63,0.29,-0.07,0.58
0.3,0.66,0.29,-0.63,0.3,0.03,0.22
0.3,0.66,0.29,-0.63,0.25,0.02,-0.14
0.3,0.66,0.29,-0.63,0.23,0.03,-0.13
0.3,0.66,0.29,-0.63,0.29,0.03,0.25
0.3,0.66,0.29,-0.63,0.32,0.0,0.26
0.3,0.66,0.29,-0.63,0.28,0.07,-0.08
0.3,0.66,0.29,-0.63,0.27,0.05,-0.07
0.3,0.66,0.29,-0.63,0.22,0.01,-0.17
0.3,0.66,0.29,-0.63,0.18,0.06,-0.7
0.3,0.66,0.29,-0.63,0.29,-0.01,0.09
0.3,0.66,0.29,-0.63,0.41,-0.01,1.19
0.3,0.66,0.29,-0.63,0.35,-0.02,0.75
0.3,0.66,0.29,-0.63,0.16,0.1,-0.79
0.3,0.66,0.29,-0.63,0.28,0.28,-0.76
0.3,0.66,0.29,-0.63,0.2,0.12,-0.62
0.3,0.66,0.29,-0.63,0.33,-0.25,0.69
0.3,0.66,0.29,-0.63,0.31,-0.11,0.74
0.29,0.66,0.28,-0.63,0.2,-0.22,-0.1
0.29,0.66,0.28,-0.63,0.32,-0.02,0.46
0.29,0.66,0.28,-0.63,0.25,-0.08,0.26
0.29,0.66,0.28,-0.63,0.22,0.21,-0.71
0.28,0.66,0.28,-0.63,0.3,0.09,0.06
0.28,0.66,0.27,-0.63,0.27,0.02,0.22
0.28,0.67,0.27,-0.64,0.17,-0.04,-0.05
0.28,0.67,0.27,-0.64,0.07,0.11,-0.26
0.28,0.67,0.27,-0.64,-0.05,-0.02,0.29
0.28,0.67,0.27,-0.64,-1.11,-0.13,0.3
0.28,0.67,0.26,-0.64,-1.45,-0.2,0.27
0.28,0.67,0.26,-0.64,-1.75,-0.11,-0.11
0.28,0.67,0.26,-0.64,-1.63,0.08,-0.16
0.28,0.67,0.25,-0.64,-1.34,0.19,-0.24
0.29,0.67,0.25,-0.64,-1.45,0.24,-0.42
0.29,0.67,0.25,-0.63,-0.85,0.07,0.0
0.3,0.67,0.25,-0.63,-0.39,-0.31,0.13
0.3,0.67,0.25,-0.63,-0.39,-0.3,0.05
0.3,0.67,0.25,-0.63,-0.04,-0.26,0.02
0.31,0.67,0.25,-0.63,-0.24,0.26,-0.03
0.31,0.67,0.26,-0.63,-0.34,0.18,0.1
0.3,0.67,0.26,-0.63,-0.73,0.09,0.07
0.3,0.67,0.26,-0.63,-0.77,-0.04,-0.21
0.3,0.66,0.26,-0.63,-0.56,-0.06,-0.15
0.3,0.66,0.27,-0.63,-0.08,-0.01,0.39
0.3,0.66,0.27,-0.63,0.0,-0.05,0.49
0.29,0.66,0.27,-0.63,0.13,0.11,-0.19
0.29,0.67,0.27,-0.63,-0.03,0.12,-0.1
0.29,0.67,0.27,-0.63,0.55,0.08,-0.32
0.29,0.67,0.27,-0.63,0.81,0.18,-0.03
0.3,0.67,0.27,-0.62,1.44,0.26,0.16
0.3,0.67,0.27,-0.62,1.47,0.19,0.11
0.3,0.67,0.27,-0.62,1.42,0.1,0.16
0.31,0.68,0.27,-0.61,1.33,0.05,0.12
0.31,0.68,0.27,-0.61,1.71,0.21,0.28
0.32,0.68,0.27,-0.61,1.59,0.08,0.34
0.32,0.68,0.27,-0.6,1.04,-0.15,0.32
0.33,0.68,0.27,-0.6,0.9,-0.29,0.23
0.33,0.68,0.27,-0.6,0.95,-0.37,0.23
0.33,0.68,0.27,-0.6,1.41,-0.23,0.36
0.33,0.68,0.26,-0.6,1.51,-0.31,0.23
0.33,0.68,0.26,-0.6,1.36,-0.19,0.18
0.33,0.68,0.26,-0.6,1.42,-0.19,0.24
0.33,0.68,0.26,-0.6,1.04,-0.21,0.17
0.33,0.68,0.26,-0.6,1.07,-0.17,0.17
0.33,0.69,0.26,-0.6,1.01,-0.02,0.03
0.32,0.69,0.26,-0.6,1.12,0.17,-0.06
0.32,0.69,0.26,-0.6,1.15,0.21,0.01
0.32,0.69,0.26,-0.6,1.2,0.22,0.12
0.32,0.68,0.26,-0.6,0.71,0.05,0.15
