roll,pitch,yaw,acc_x,acc_y,acc_z
-2.218053551198788,-4.209295640621079,-5.630364408839766,-0.03,0.22,0.0
-2.218053551198788,-4.209295640621079,-5.630364408839766,0.01,-0.11,0.0
-2.218053551198788,-4.209295640621079,-5.630364408839766,-0.06,-0.21,-0.03
-2.218053551198788,-4.209295640621079,-5.630364408839766,-0.02,-0.18,0.0
-2.1721280282466693,-4.197805575697904,-7.236198187706478,-0.04,0.22,-0.04
-2.1721280282466693,-4.197805575697904,-7.236198187706478,-0.03,0.04,-0.03
-2.1721280282466693,-4.197805575697904,-7.236198187706478,0.0,-0.02,0.0
-2.1721280282466693,-4.197805575697904,-7.236198187706478,-0.14,-0.04,-0.36
-2.1721280282466693,-4.197805575697904,-7.236198187706478,-0.12,0.06,-0.1
-2.9922310132492616,-5.071566937073525,-5.529728711969575,0.02,-0.02,-0.04
-2.9922310132492616,-5.071566937073525,-5.529728711969575,-0.05,0.01,-0.01
-2.9922310132492616,-5.071566937073525,-5.529728711969575,-0.09,-0.03,-0.06
-2.9922310132492616,-5.071566937073525,-5.529728711969575,-0.12,0.02,-0.13
-2.9922310132492616,-5.071566937073525,-5.529728711969575,0.0,-0.14,-0.15
-3.0037185594502693,-5.014048518778406,-5.604057201922508,-0.2,-1.28,0.0
-3.0037185594502693,-5.014048518778406,-5.604057201922508,-0.46,-1.92,0.54
-2.0737751760994136,-5.819794400050792,-7.142145558241158,-0.6,-2.51,0.92
-2.0737751760994136,-5.819794400050792,-7.142145558241158,-0.48,-2.79,0.72
-1.3113611039532598,-4.95653516606946,-7.241992929726815,-1.18,-3.26,1.02
-1.3113611039532598,-4.95653516606946,-7.241992929726815,-1.51,-4.23,1.15
-0.44914364416776464,-5.71613717193013,-7.247796910439942,-1.83,-5.18,0.83
-0.3685305849083618,-5.727653708505977,-8.7557724234032,-1.96,-5.34,-0.12
0.3795128607133082,-4.853023707297576,-8.829964973165863,-2.02,-4.98,-0.41
-0.28791606655709345,-5.739170477266787,-10.239192091413743,-1.6,-4.81,-0.5
-0.20730040825355248,-5.750687478691948,-11.698258353830989,-1.65,-3.44,-0.36
-0.161233928806178,-5.71613717193013,-13.296116024241206,-1.19,-3.04,-0.69
-0.0806171240038357,-5.727653708505977,-14.72126602023701,-1.1,-1.67,0.28
-0.6922230177867614,-6.66130686748525,-16.03233935393596,-1.17,-1.6,-0.27
-0.6345426973813594,-6.626696966198309,-17.616440933523986,-1.27,-2.91,0.28
-0.5422515579380033,-6.649769963061973,-18.98374218826818,-0.54,-3.41,0.04
-1.3943714741381101,-6.01564383071907,-20.307931368518272,-1.49,-0.24,0.15
-1.3137344931116353,-6.050212753469229,-21.628678204506404,-1.74,-0.53,0.18
0.41459538933201356,-5.71613717193013,-24.565974091784113,-0.68,-0.89,-0.67
