roll,pitch,yaw,acc_x,acc_y,acc_z
-0.6883095844089954,-10.812755960586646,-18.6487105489723,-0.15,-0.17,-0.07
-0.6883095844089954,-10.812755960586646,-18.6487105489723,-0.01,-0.39,-0.18
-0.6883095844089954,-10.812755960586646,-18.6487105489723,0.02,-0.29,-0.19
-0.6883095844089954,-10.812755960586646,-18.6487105489723,-0.12,-0.14,-0.13
-0.6883095844089954,-10.812755960586646,-18.6487105489723,-0.13,-0.4,-0.05
-0.6883095844089954,-10.812755960586646,-18.6487105489723,-0.12,-0.18,0.06
-0.6883095844089954,-10.812755960586646,-18.6487105489723,-0.09,0.08,0.07
-0.6883095844089954,-10.812755960586646,-18.6487105489723,-0.1,0.17,0.06
-0.6883095844089954,-10.812755960586646,-18.6487105489723,-0.14,0.13,-0.08
2.5512678746520767,-10.276578185051093,-18.96490494838888,-0.6,-4.31,0.64
3.2764502298164295,-9.253334119766183,-20.640960258282863,-0.53,-3.85,0.88
3.3575967307415344,-9.311390120818974,-20.408369028107646,-1.4,-1.65,0.96
