q0,q1,q2,q3,acc_x,acc_y,acc_z
0.05,0.02,-0.02,-1.0,0.11,-0.07,-0.35
0.05,0.02,-0.02,-1.0,0.08,-0.06,-0.33
0.05,0.02,-0.02,-1.0,0.12,-0.07,-0.34
0.05,0.02,-0.02,-1.0,0.1,-0.09,-0.35
0.05,0.02,-0.02,-1.0,0.1,-0.09,-0.33
0.05,0.02,-0.02,-1.0,0.1,-0.09,-0.33
0.05,0.02,-0.02,-1.0,0.12,-0.1,-0.37
0.05,0.02,-0.02,-1.0,0.11,-0.05,-0.34
0.05,0.02,-0.02,-1.0,0.1,-0.09,-0.35
0.05,0.02,-0.02,-1.0,0.1,-0.08,-0.38
0.05,0.02,-0.02,-1.0,0.09,-0.07,-0.35
0.05,0.02,-0.02,-1.0,0.1,-0.09,-0.34
0.05,0.02,-0.02,-1.0,0.08,-0.08,-0.36
0.05,0.02,-0.02,-1.0,0.11,-0.08,-0.34
0.05,0.02,-0.02,-1.0,0.11,-0.09,-0.33
0.05,0.02,-0.02,-1.0,0.1,-0.06,-0.37
0.05,0.02,-0.02,-1.0,0.1,-0.1,-0.36
0.05,0.02,-0.02,-1.0,0.11,-0.08,-0.38
0.05,0.02,-0.02,-1.0,0.11,-0.08,-0.36
0.05,0.02,-0.02,-1.0,0.1,-0.09,-0.33
0.05,0.02,-0.02,-1.0,0.1,-0.1,-0.31
0.05,0.02,-0.02,-1.0,0.11,-0.07,-0.36
0.05,0.02,-0.02,-1.0,0.09,-0.09,-0.32
0.05,0.02,-0.02,-1.0,0.11,-0.08,-0.36
0.05,0.02,-0.02,-1.0,0.1,-0.08,-0.36
0.05,0.02,-0.02,-1.0,0.11,-0.08,-0.35
0.05,0.02,-0.02,-1.0,0.11,-0.09,-0.35
0.05,0.02,-0.02,-1.0,0.11,-0.08,-0.36
0.05,0.02,-0.02,-1.0,0.11,-0.07,-0.34
0.05,0.02,-0.02,-1.0,0.11,-0.1,-0.34
0.05,0.02,-0.02,-1.0,0.1,-0.08,-0.35
0.05,0.02,-0.02,-1.0,0.13,-0.07,-0.29
0.05,0.02,-0.02,-1.0,0.1,-0.06,-0.32
0.05,0.02,-0.02,-1.0,0.1,-0.07,-0.38
0.05,0.02,-0.02,-1.0,0.11,-0.07,-0.36
0.05,0.02,-0.02,-1.0,0.1,-0.08,-0.33
0.05,0.02,-0.02,-1.0,0.11,-0.07,-0.38
0.05,0.02,-0.02,-1.0,0.11,-0.09,-0.36
0.05,0.02,-0.02,-1.0,0.1,-0.07,-0.31
0.05,0.02,-0.02,-1.0,0.09,-0.08,-0.35
0.05,0.02,-0.02,-1.0,0.1,-0.1,-0.34
0.05,0.02,-0.02,-1.0,0.13,-0.08,-0.35
0.05,0.02,-0.02,-1.0,0.11,-0.08,-0.39
0.05,0.02,-0.02,-1.0,0.1,-0.07,-0.35
0.05,0.02,-0.02,-1.0,0.1,-0.07,-0.35
0.05,0.02,-0.02,-1.0,0.12,-0.08,-0.36
0.05,0.02,-0.02,-1.0,0.11,-0.06,-0.32
0.05,0.02,-0.02,-1.0,0.09,-0.08,-0.33
0.05,0.02,-0.02,-1.0,0.11,-0.09,-0.37
0.05,0.02,-0.02,-1.0,0.08,-0.09,-0.37
0.05,0.02,-0.02,-1.0,0.11,-0.08,-0.36
0.05,0.02,-0.02,-1.0,0.1,-0.08,-0.36
0.05,0.02,-0.02,-1.0,0.12,-0.07,-0.32
0.05,0.02,-0.02,-1.0,0.1,-0.08,-0.36
0.05,0.02,-0.02,-1.0,0.11,-0.09,-0.34
0.05,0.02,-0.02,-1.0,0.1,-0.08,-0.33
0.05,0.02,-0.02,-1.0,0.12,-0.08,-0.36
0.05,0.02,-0.02,-1.0,0.11,-0.07,-0.37
0.05,0.02,-0.02,-1.0,0.12,-0.1,-0.34
0.05,0.02,-0.02,-1.0,0.09,-0.09,-0.34
0.05,0.02,-0.02,-1.0,0.1,-0.08,-0.38
