q0,q1,q2,q3,acc_x,acc_y,acc_z
0.27,0.71,0.14,-0.64,-0.73,-2.64,0.26
0.27,0.71,0.14,-0.64,-0.78,-2.69,0.12
0.27,0.71,0.14,-0.63,-0.64,-2.53,0.18
0.28,0.71,0.14,-0.63,-0.55,-2.42,-0.02
0.28,0.71,0.14,-0.63,-0.1,-2.43,0.09
0.28,0.71,0.13,-0.63,0.0,-2.51,0.1
0.29,0.71,0.13,-0.62,0.35,-2.56,0.06
0.3,0.71,0.13,-0.62,0.59,-2.8,0.12
0.3,0.71,0.13,-0.62,0.73,-2.82,0.14
0.3,0.71,0.14,-0.62,1.11,-2.78,0.28
0.31,0.71,0.14,-0.62,1.51,-2.39,0.31
0.31,0.71,0.14,-0.62,1.61,-2.22,0.26
0.31,0.71,0.15,-0.62,1.82,-1.79,0.26
0.3,0.71,0.15,-0.62,1.73,-1.37,-0.14
0.3,0.71,0.16,-0.62,1.61,-1.39,-0.44
0.3,0.7,0.17,-0.62,1.71,-1.0,-0.31
0.29,0.7,0.18,-0.63,1.88,-0.46,-0.19
0.29,0.69,0.19,-0.63,1.79,-0.34,-0.01
0.29,0.69,0.21,-0.64,1.46,-0.02,-0.1
0.28,0.68,0.23,-0.64,0.81,0.27,-0.45
0.28,0.67,0.24,-0.64,0.79,0.53,-0.25
0.27,0.66,0.26,-0.65,0.19,0.52,0.69
0.27,0.65,0.28,-0.65,-0.5,0.43,0.95
0.26,0.65,0.29,-0.65,-0.88,0.43,0.93
0.25,0.64,0.31,-0.66,-1.43,0.78,1.28
0.24,0.63,0.33,-0.66,-2.33,1.13,1.52
0.24,0.62,0.34,-0.66,-2.55,1.35,1.65
0.23,0.62,0.35,-0.67,-3.02,1.62,1.88
0.22,0.61,0.36,-0.67,-3.32,1.47,1.46
0.21,0.61,0.36,-0.68,-3.28,1.55,1.38
0.2,0.6,0.36,-0.68,-3.05,2.05,1.28
0.19,0.6,0.36,-0.69,-3.21,2.46,0.63
0.19,0.6,0.36,-0.69,-3.11,2.72,0.2
0.18,0.6,0.36,-0.69,-2.8,2.77,-0.26
0.18,0.59,0.36,-0.7,-2.01,2.85,-0.26
0.18,0.59,0.36,-0.7,-1.66,3.06,0.22
0.18,0.59,0.35,-0.7,-0.66,3.16,0.63
0.18,0.59,0.35,-0.7,-1.11,2.73,-0.48
0.18,0.59,0.35,-0.7,-1.21,2.58,-0.61
0.19,0.6,0.35,-0.7,-1.13,2.66,-0.19
0.19,0.6,0.35,-0.69,-0.56,2.76,0.31
