q0,q1,q2,q3,acc_x,acc_y,acc_z
0.71,-0.08,-0.19,-0.67,-0.06,0.18,-0.24
0.71,-0.08,-0.19,-0.67,-0.17,0.07,-0.16
0.71,-0.08,-0.19,-0.67,-0.12,-0.08,0.02
0.71,-0.08,-0.19,-0.67,-0.12,0.1,0.05
0.71,-0.08,-0.19,-0.67,-0.05,0.18,-0.1
0.71,-0.08,-0.19,-0.67,-0.06,0.0,0.02
0.71,-0.08,-0.19,-0.67,-0.01,0.11,-0.02
0.71,-0.08,-0.19,-0.67,-0.01,0.2,0.0
0.71,-0.08,-0.19,-0.67,-0.06,0.32,0.0
0.71,-0.08,-0.19,-0.67,-0.05,0.29,-0.03
0.71,-0.08,-0.19,-0.67,-0.06,0.02,-0.05
0.71,-0.08,-0.19,-0.67,-0.1,0.08,-0.06
0.71,-0.08,-0.18,-0.67,-0.12,-0.06,-0.01
0.71,-0.09,-0.18,-0.67,-0.08,-0.07,-0.05
0.71,-0.09,-0.18,-0.67,-0.01,0.17,-0.01
0.71,-0.09,-0.18,-0.67,0.02,0.09,-0.01
0.71,-0.09,-0.18,-0.67,-0.02,0.02,-0.08
0.71,-0.09,-0.18,-0.67,-0.02,-0.01,-0.01
0.71,-0.09,-0.18,-0.67,-0.06,-0.35,0.03
0.71,-0.08,-0.19,-0.67,-0.01,-0.07,-0.14
0.82,-0.05,-0.22,-0.53,0.39,0.78,-0.41
0.82,-0.05,-0.22,-0.52,0.59,0.16,-0.1
0.83,-0.05,-0.22,-0.52,0.68,0.04,0.06
0.83,-0.06,-0.21,-0.51,0.67,0.27,0.18
0.84,-0.06,-0.21,-0.51,0.65,0.43,-0.11
0.84,-0.06,-0.21,-0.5,0.78,0.14,-0.17
0.84,-0.06,-0.21,-0.49,0.74,0.11,-0.09
0.85,-0.06,-0.2,-0.49,0.88,0.31,0.15
0.85,-0.06,-0.2,-0.48,0.83,1.03,-0.16
0.86,-0.06,-0.2,-0.47,0.81,0.97,0.03
0.86,-0.05,-0.19,-0.47,0.77,0.76,0.09
0.87,-0.05,-0.19,-0.46,0.95,0.21,-0.01
0.87,-0.05,-0.19,-0.45,0.96,0.47,0.42
0.87,-0.05,-0.19,-0.45,1.17,1.12,0.0
0.88,-0.05,-0.19,-0.44,1.26,1.08,0.09
0.88,-0.04,-0.19,-0.44,1.32,1.2,-0.18
0.88,-0.04,-0.19,-0.43,1.07,0.87,-0.38
0.89,-0.04,-0.19,-0.42,1.18,1.17,-0.47
0.89,-0.04,-0.18,-0.42,1.14,1.28,-0.69
0.89,-0.03,-0.18,-0.41,1.19,1.1,-0.49
0.9,-0.03,-0.18,-0.41,1.23,0.89,-0.42
0.9,-0.03,-0.19,-0.4,1.21,0.97,-0.22
