q0,q1,q2,q3,acc_x,acc_y,acc_z
0.35,0.68,0.17,-0.62,-0.21,-2.49,0.22
0.35,0.68,0.18,-0.62,-0.06,-2.41,0.35
0.35,0.67,0.18,-0.62,0.12,-2.31,0.45
0.35,0.67,0.18,-0.63,-0.02,-2.33,0.37
0.35,0.67,0.18,-0.63,0.0,-2.33,0.19
0.35,0.67,0.19,-0.63,0.19,-2.04,0.12
0.34,0.66,0.19,-0.64,0.26,-1.71,0.06
0.34,0.66,0.19,-0.64,0.04,-1.52,-0.28
0.33,0.66,0.2,-0.64,0.12,-1.27,-0.51
0.33,0.66,0.2,-0.65,0.9,-0.89,-0.02
0.33,0.66,0.2,-0.65,0.95,-0.85,-0.1
0.32,0.65,0.21,-0.65,0.77,-0.58,-0.34
0.32,0.65,0.22,-0.66,0.74,-0.16,-0.27
0.32,0.65,0.22,-0.66,0.39,0.0,-0.46
0.31,0.64,0.23,-0.66,0.23,0.32,-0.34
0.31,0.63,0.25,-0.66,0.26,0.59,-0.2
0.31,0.63,0.26,-0.67,0.25,0.86,-0.1
0.3,0.62,0.27,-0.67,0.0,1.16,-0.05
0.3,0.61,0.29,-0.67,-0.65,1.33,-0.26
0.29,0.61,0.3,-0.67,-0.78,1.44,-0.24
0.29,0.6,0.31,-0.68,-1.4,1.6,-0.12
0.28,0.59,0.33,-0.68,-1.62,1.74,0.13
0.28,0.59,0.34,-0.68,-1.49,1.63,0.09
0.27,0.58,0.35,-0.69,-1.36,2.09,-0.07
0.27,0.57,0.36,-0.69,-1.53,2.45,-0.33
0.27,0.56,0.37,-0.69,-1.67,2.6,-0.38
0.26,0.56,0.38,-0.7,-1.08,2.8,-0.02
0.26,0.55,0.38,-0.7,-1.01,3.08,-0.4
0.25,0.55,0.39,-0.7,-1.27,3.17,-0.42
0.25,0.54,0.39,-0.7,-1.24,3.34,-0.48
0.25,0.54,0.4,-0.7,-0.64,3.48,-0.16
0.25,0.54,0.4,-0.7,-0.48,3.59,-0.17
0.25,0.54,0.41,-0.69,-0.54,3.56,-0.03
0.25,0.54,0.42,-0.69,-0.54,3.44,-0.06
0.25,0.54,0.42,-0.69,-0.44,3.42,0.26
0.25,0.54,0.42,-0.69,-0.34,3.34,0.56
