q0,q1,q2,q3,acc_x,acc_y,acc_z
0.72,-0.07,-0.27,-0.63,0.11,0.16,-0.52
0.72,-0.06,-0.27,-0.64,0.0,-0.72,-0.58
0.72,-0.06,-0.27,-0.64,-0.34,-0.82,-0.44
0.72,-0.05,-0.27,-0.64,-0.36,-0.63,-0.84
0.72,-0.05,-0.28,-0.64,-0.27,-0.15,-0.97
0.72,-0.04,-0.28,-0.64,-0.3,0.0,-1.08
0.72,-0.04,-0.28,-0.64,-0.52,0.41,-1.16
0.72,-0.03,-0.28,-0.64,-0.52,0.08,-1.39
0.72,-0.03,-0.28,-0.64,-0.66,-0.22,-1.47
0.72,-0.03,-0.28,-0.64,-0.32,-0.19,-0.97
0.72,-0.03,-0.28,-0.64,-0.33,-0.24,-1.15
0.72,-0.03,-0.28,-0.64,-0.55,-0.45,-1.42
0.72,-0.03,-0.27,-0.64,-0.49,-0.48,-1.16
0.72,-0.02,-0.27,-0.64,-0.39,-0.43,-1.08
0.71,-0.02,-0.27,-0.64,-0.44,-0.27,-1.16
0.71,-0.02,-0.27,-0.64,-0.31,0.12,-1.17
0.71,-0.02,-0.27,-0.65,-0.46,-0.51,-1.33
0.71,-0.02,-0.27,-0.65,-0.51,-0.61,-1.26
0.71,-0.02,-0.27,-0.65,-0.26,-0.47,-0.7
0.71,-0.02,-0.27,-0.65,-0.25,-0.36,-0.91
0.71,-0.02,-0.27,-0.65,-0.21,-0.04,-0.86
0.71,-0.02,-0.27,-0.65,-0.24,0.03,-1.06
0.71,-0.02,-0.27,-0.65,-0.29,-0.01,-0.46
0.71,-0.02,-0.27,-0.65,0.47,-0.49,-0.22
0.71,-0.02,-0.27,-0.65,-0.16,0.1,0.02
0.71,-0.02,-0.27,-0.65,-0.03,-0.36,-0.23
0.71,-0.03,-0.27,-0.65,0.07,-0.46,-0.1
0.71,-0.03,-0.27,-0.65,-0.05,-0.1,-0.54
0.71,-0.03,-0.27,-0.65,-0.01,-0.03,-0.35
0.71,-0.03,-0.27,-0.65,0.05,-0.18,-0.13
0.71,-0.03,-0.27,-0.65,0.09,0.1,0.05
0.71,-0.03,-0.27,-0.65,0.01,0.14,-0.11
