q0,q1,q2,q3,acc_x,acc_y,acc_z
0.7,0.01,-0.03,-0.72,0.14,-0.5,0.76
0.69,0.01,-0.03,-0.72,0.11,-0.59,0.66
0.69,0.01,-0.03,-0.72,-0.05,-0.55,0.46
0.69,0.01,-0.03,-0.72,-0.33,-0.62,0.12
0.69,0.01,-0.03,-0.72,-0.08,-0.25,0.33
0.69,0.01,-0.03,-0.72,-0.19,-0.26,0.25
0.69,0.0,-0.03,-0.72,-0.16,-0.76,0.27
0.69,0.0,-0.03,-0.72,-0.12,-0.81,0.33
0.69,0.0,-0.03,-0.72,0.03,-0.31,0.2
0.69,0.0,-0.03,-0.72,0.06,-0.17,0.2
0.69,0.0,-0.03,-0.72,-0.16,-0.17,0.1
0.69,0.0,-0.02,-0.72,-0.14,-0.34,0.03
0.69,0.0,-0.02,-0.72,-0.19,-0.62,-0.16
0.69,0.0,-0.02,-0.72,-0.13,-0.78,-0.04
0.69,0.0,-0.03,-0.73,-0.1,-0.57,0.05
0.69,0.0,-0.03,-0.73,-0.02,-0.25,0.02
0.69,0.0,-0.03,-0.73,-0.05,-0.49,0.13
0.69,0.0,-0.03,-0.73,0.09,0.01,0.23
0.69,0.0,-0.03,-0.73,0.14,0.54,0.04
0.69,0.0,-0.03,-0.73,0.26,-0.19,0.36
0.69,0.0,-0.03,-0.73,0.26,-0.07,0.26
0.69,0.0,-0.03,-0.73,0.2,-0.43,0.02
0.69,0.0,-0.03,-0.73,0.15,-0.1,-0.11
0.69,0.0,-0.03,-0.73,0.11,0.3,0.19
0.69,0.0,-0.03,-0.73,0.02,-0.06,-0.01
0.69,0.0,-0.03,-0.73,0.07,-0.44,-0.05
0.69,0.0,-0.03,-0.73,0.09,0.03,-0.33
0.69,0.0,-0.03,-0.73,0.13,0.35,-0.24
0.69,0.0,-0.03,-0.73,0.09,0.28,-0.24
0.69,0.0,-0.03,-0.73,0.01,-0.05,-0.3
0.69,0.0,-0.03,-0.73,-0.03,-0.2,-0.4
0.69,0.0,-0.03,-0.73,-0.16,-0.3,-0.64
0.69,0.0,-0.03,-0.73,-0.13,-0.01,-0.39
0.69,0.0,-0.03,-0.73,-0.68,0.24,-0.94
0.69,-0.0,-0.03,-0.73,-0.44,0.06,-0.64
0.69,-0.01,-0.03,-0.72,-0.15,-0.77,-0.21
0.69,-0.01,-0.04,-0.72,-0.03,-0.13,-0.17
0.69,-0.01,-0.04,-0.72,0.15,0.91,-0.29
0.69,-0.02,-0.04,-0.72,0.17,1.42,-0.41
0.69,-0.02,-0.05,-0.72,0.01,0.92,-0.38
0.68,-0.03,-0.05,-0.73,-0.07,-0.4,-0.16
0.68,-0.03,-0.05,-0.73,0.18,-1.17,0.0
0.68,-0.04,-0.06,-0.73,0.39,-0.29,-0.21
0.68,-0.04,-0.06,-0.73,0.33,0.69,-0.62
0.68,-0.05,-0.06,-0.73,0.34,0.09,-0.09
0.68,-0.05,-0.06,-0.73,0.52,-1.76,0.34
0.68,-0.06,-0.07,-0.73,0.58,0.32,0.24
0.68,-0.06,-0.07,-0.73,0.47,-0.3,0.0
0.68,-0.06,-0.07,-0.73,0.89,-0.05,0.29
0.68,-0.07,-0.07,-0.73,0.56,0.03,0.08
0.68,-0.07,-0.08,-0.73,0.59,0.1,0.11
0.68,-0.07,-0.08,-0.73,0.48,-0.13,0.12
0.67,-0.08,-0.08,-0.73,0.37,0.0,0.19
0.67,-0.08,-0.08,-0.73,0.55,-0.2,0.23
0.67,-0.08,-0.08,-0.73,0.7,0.23,0.35
0.67,-0.08,-0.08,-0.73,0.51,0.03,0.19
0.67,-0.08,-0.08,-0.73,0.36,0.28,0.24
0.67,-0.08,-0.08,-0.73,0.29,0.02,0.3
0.67,-0.08,-0.08,-0.73,0.36,0.16,0.27
0.67,-0.09,-0.08,-0.73,0.4,0.18,0.26
0.67,-0.09,-0.08,-0.73,0.35,-0.06,0.25
0.67,-0.08,-0.08,-0.73,0.15,0.24,0.22
0.67,-0.08,-0.08,-0.73,0.0,-0.08,0.07
0.67,-0.08,-0.08,-0.73,0.0,-0.04,0.16
0.67,-0.08,-0.08,-0.73,0.02,-0.55,0.33
0.67,-0.08,-0.08,-0.73,0.18,0.3,0.22
0.67,-0.08,-0.08,-0.73,0.24,0.24,0.2
0.67,-0.08,-0.08,-0.73,0.21,0.31,0.22
0.67,-0.08,-0.08,-0.73,0.04,-0.12,0.14
0.67,-0.08,-0.08,-0.73,0.0,0.02,0.0
0.67,-0.07,-0.08,-0.73,-0.33,-0.33,-0.86
0.67,-0.07,-0.08,-0.73,-0.06,-0.58,-0.17
0.67,-0.07,-0.08,-0.73,-0.12,-0.61,-0.25
0.67,-0.07,-0.08,-0.73,-0.06,0.05,-0.17
0.67,-0.06,-0.08,-0.73,-0.14,-0.09,-0.19
0.67,-0.06,-0.08,-0.73,-0.14,-0.48,-0.14
0.67,-0.06,-0.08,-0.73,-0.26,-0.1,-0.33
0.67,-0.06,-0.08,-0.73,-0.35,-0.1,-0.21
0.67,-0.06,-0.08,-0.73,-0.29,-0.06,-0.15
0.67,-0.05,-0.08,-0.73,-0.31,-0.31,-0.07
0.67,-0.05,-0.08,-0.73,-0.21,-0.03,0.01
0.67,-0.05,-0.08,-0.73,-0.29,0.19,0.04
0.67,-0.05,-0.08,-0.73,-0.52,0.27,-0.13
0.67,-0.05,-0.08,-0.73,-0.6,0.0,-0.15
0.68,-0.05,-0.08,-0.73,-0.76,-0.35,-0.16
0.68,-0.05,-0.08,-0.73,-0.86,-0.76,-0.13
0.68,-0.05,-0.08,-0.73,-0.72,-0.81,-0.03
0.68,-0.05,-0.08,-0.73,-0.57,-0.62,0.08
0.68,-0.05,-0.08,-0.73,-0.32,-0.59,0.23
0.68,-0.05,-0.08,-0.73,-0.23,-0.82,0.06
0.68,-0.05,-0.08,-0.73,-0.15,-0.91,-0.06
0.68,-0.05,-0.08,-0.72,-0.08,-0.79,0.0
0.69,-0.05,-0.08,-0.72,-0.17,-0.97,0.08
0.69,-0.05,-0.07,-0.72,-0.34,-0.52,0.09
0.69,-0.05,-0.07,-0.72,-0.16,-0.24,-0.13
0.69,-0.05,-0.07,-0.72,0.03,-0.42,0.12
0.69,-0.05,-0.07,-0.71,0.0,-0.55,0.22
0.7,-0.05,-0.07,-0.71,-0.05,-0.51,0.2
0.7,-0.05,-0.07,-0.71,-0.44,-0.01,-0.26
0.7,-0.05,-0.07,-0.71,-0.47,-0.45,-0.07
0.7,-0.05,-0.07,-0.71,-0.68,-0.09,0.04
0.7,-0.05,-0.07,-0.71,-0.72,0.34,-0.32
0.7,-0.05,-0.07,-0.71,-0.8,0.66,-0.5
0.7,-0.05,-0.07,-0.7,-1.0,0.62,-0.64
0.7,-0.05,-0.07,-0.7,-1.07,-0.48,-0.64
0.71,-0.05,-0.07,-0.7,-0.61,0.05,-0.44
0.71,-0.05,-0.07,-0.7,-0.09,-0.18,-0.58
0.71,-0.05,-0.07,-0.7,-0.23,0.26,-0.51
0.71,-0.05,-0.07,-0.7,-0.24,-0.71,-0.37
0.71,-0.05,-0.07,-0.7,-0.48,-0.29,-0.6
0.71,-0.05,-0.07,-0.7,-0.19,0.72,-0.6
0.71,-0.05,-0.08,-0.7,0.02,1.01,-0.65
0.71,-0.05,-0.08,-0.7,0.57,0.8,-0.56
0.71,-0.05,-0.08,-0.7,0.9,0.56,-0.65
0.71,-0.05,-0.07,-0.7,0.97,1.05,-1.14
0.71,-0.05,-0.07,-0.7,0.26,1.72,-1.47
0.71,-0.05,-0.07,-0.7,-0.62,0.13,-0.93
0.7,-0.05,-0.06,-0.71,-0.4,-0.16,-0.77
0.7,-0.05,-0.06,-0.71,0.09,0.04,-0.69
0.7,-0.05,-0.06,-0.71,0.16,1.36,-0.79
0.7,-0.05,-0.06,-0.71,0.24,0.74,-0.59
0.7,-0.05,-0.07,-0.71,0.2,0.32,0.0
0.69,-0.05,-0.07,-0.72,0.72,0.3,0.33
0.69,-0.05,-0.07,-0.72,1.4,-0.3,0.76
0.69,-0.05,-0.07,-0.72,1.61,-0.29,1.01
0.69,-0.05,-0.07,-0.72,0.56,2.31,-0.3
0.68,-0.05,-0.07,-0.72,0.63,1.77,-0.01
0.68,-0.05,-0.07,-0.73,0.94,0.23,0.29
0.68,-0.05,-0.07,-0.73,1.04,-0.32,0.72
0.67,-0.05,-0.07,-0.73,0.98,0.0,0.63
0.67,-0.05,-0.07,-0.74,0.84,1.99,0.27
0.67,-0.05,-0.07,-0.74,0.56,0.93,0.69
0.66,-0.05,-0.07,-0.74,0.62,-0.44,0.51
0.66,-0.05,-0.07,-0.75,0.36,-1.06,0.13
0.66,-0.05,-0.07,-0.75,-0.07,-1.05,0.02
0.66,-0.05,-0.07,-0.75,-0.29,0.18,0.03
0.66,-0.05,-0.07,-0.75,-0.24,0.79,0.16
0.66,-0.04,-0.07,-0.75,0.28,1.55,0.36
0.66,-0.04,-0.08,-0.75,0.65,1.43,0.39
0.65,-0.04,-0.08,-0.75,1.02,1.12,0.03
0.65,-0.04,-0.08,-0.75,0.79,-0.15,0.33
0.65,-0.04,-0.08,-0.75,0.63,-0.83,0.58
0.65,-0.04,-0.09,-0.75,0.39,0.34,0.18
0.65,-0.04,-0.09,-0.75,-0.03,0.91,0.1
0.65,-0.04,-0.1,-0.75,0.57,0.79,-0.14
0.65,-0.04,-0.1,-0.75,0.53,-0.1,-0.33
0.66,-0.03,-0.1,-0.75,0.61,-0.81,-0.16
0.66,-0.03,-0.11,-0.75,0.51,-0.34,0.0
0.66,-0.03,-0.11,-0.74,0.16,1.74,0.19
0.66,-0.03,-0.11,-0.74,0.71,1.44,-0.09
0.66,-0.03,-0.11,-0.74,0.9,1.17,-0.16
0.66,-0.03,-0.12,-0.74,0.46,0.46,-0.35
0.66,-0.03,-0.12,-0.74,0.37,-0.61,-0.02
0.66,-0.03,-0.12,-0.74,0.45,-0.41,-0.02
0.66,-0.03,-0.12,-0.74,0.32,0.17,-0.04
0.66,-0.03,-0.12,-0.74,0.53,0.21,0.25
0.66,-0.03,-0.12,-0.74,0.51,0.55,0.1
0.66,-0.03,-0.13,-0.74,0.35,0.84,0.08
0.66,-0.03,-0.13,-0.74,0.56,-1.0,0.72
